feature,coef,pvalue,stars,label,bucket
n_sessions_attended,0.5223935291423979,7.773334409371614e-05,***,n_sessions_attended,Controls
speaking_minutes_total,0.7596589663298026,3.0492134773060056e-07,***,speaking_minutes_total,Controls
idea_convergent,0.11933654934353426,0.4778548492474851,,Idea Trajectory: Convergent,Idea Development
problem_specificity,0.3761819585024369,0.1128510157332025,,Problem Specificity (avg),Idea Development
decision_crystallization,-0.4032602935267035,0.12086843403578106,,Decision Crystallization (avg),Idea Development
ambition_novel,0.12731577184692502,0.46612597739192996,,Ambition: Novel+,Idea Development
cross_disc_bridging,0.08980521265055398,0.6332772111243563,,Cross-Disc. Bridging in Session,Collaboration Signals
complementarity_recog,-0.016249797394646194,0.9231559602356181,,Complementarity Recognized,Collaboration Signals
skill_gap,0.07570042955766361,0.5928192021861198,,Skill Gap Identified,Collaboration Signals
shared_vision,-0.24111778932619513,0.18779421100579852,,Shared Vision Signal,Collaboration Signals
commitment_signal,-0.06948462499396366,0.6150401609597136,,Commitment Signal,Commitment & Funding
risk_enthusiasm,0.0937639274895911,0.3944684312581185,,Risk + Enthusiasm,Commitment & Funding
funding_awareness,0.07932348953255387,0.5020719822845905,,Funding Awareness,Commitment & Funding
pronoun_shift,0.0060314014300116014,0.9618054332253886,,Pronoun Shift (we/us),Social & Relational
personal_disclosure,-0.06930219945159222,0.5300670779284529,,Personal Disclosure,Social & Relational
prior_relationship,0.12244214419133649,0.32554601341492895,,Prior Relationship Signal,Social & Relational
shared_humor,-0.08278363148990152,0.504269781290825,,Shared Humor / Laughter,Social & Relational
dominant_speaker,-0.48038833719637175,0.0025222297701018113,**,Dominant Speaker,Participation Dynamics
screenshare,0.20074980521936858,0.07044900165676674,,Screenshare Active,Participation Dynamics
engagement_level,0.11540420247706282,0.4775273420338114,,Collective Engagement (avg),Participation Dynamics
structured_meeting,-0.23654939717237167,0.11441081738185682,,Meeting: Structured,Participation Dynamics
