feature,coef,pvalue,stars,feature_label
n_sessions_attended,0.241563700873519,0.15111163425553137,,N Sessions Attended
speaking_minutes_total,-0.417973601116361,0.20216402211126605,,Speaking Minutes Total
codename__relational_climate,-0.06840857987858287,0.661311865717332,,Relational Climate
codename__evaluation_practices,-0.023323769245246186,0.9161932972300887,,Evaluation Practices
codename__complementarity_articulation,0.12005115894397271,0.37245251346518404,,Complementarity Articulation
codename__idea_novelty_signal,0.08411823174482222,0.5184908007418105,,Idea Novelty Signal
codename__broader_significance,-0.1260738112029239,0.396176743002544,,Broader Significance
codename__information_seeking,0.21217648496830444,0.27990149926975516,,Information Seeking
codename__epistemic_bridging,-0.17845129151818984,0.2067562269145966,,Epistemic Bridging
codename__idea_ownership_and_attribution,-0.10342361789701586,0.44382862159198433,,Idea Ownership & Attribution
codename__role_anticipation,0.26850802629902243,0.10114591374163781,,Role Anticipation
codename__idea_management,0.22062905446960815,0.3022102862721172,,Idea Management
codename__coordination_and_decision_practices,-0.3606434755113594,0.06663342197676626,,Coordination & Decision
codename__knowledge_sharing,0.5371656411672978,0.047786330450119666,*,Knowledge Sharing
codename__participation_dynamics,-0.2418581283364572,0.14956689521339764,,Participation Dynamics
codename__integration_practices,0.18662459209467594,0.37620952954733256,,Integration Practices
codename__future_oriented_language,-0.1418444382039216,0.2911239461330458,,Future-Oriented Language
codename__pronoun_framing,0.051200680395492824,0.9092737920391145,,Pronoun Framing
