feature,coef,pvalue,abs_coef,stars
is_facilitator,-9.211483583902453,0.9999892917231685,9.211483583902453,
subcode__proposes_process,-1.3135053527555496,0.010367176110361268,1.3135053527555496,*
subcode__invites_contribution,-1.1530637403656894,0.3419751529680428,1.1530637403656894,
n_sessions_attended,0.5135800398108256,0.0006109371210268506,0.5135800398108256,***
subcode__individual_framing,0.502689946324561,0.057672356625943604,0.502689946324561,
speaking_minutes_total,-0.39897186741095275,0.3034530896101809,0.39897186741095275,
subcode__extends_existing_idea,0.39101158250942847,0.03302217111556054,0.39101158250942847,*
subcode__shares_domain_knowledge,0.22580149283427176,0.33119189524281933,0.22580149283427176,
subcode__asks_factual_question,0.20733673795395355,0.25873352539543104,0.20733673795395355,
subcode__shares_method_or_approach,0.12177580029996339,0.35476414944684675,0.12177580029996339,
subcode__asks_clarifying_question,0.11935763303828487,0.4582350532146696,0.11935763303828487,
subcode__synthesizes_contributions,0.11178715002364187,0.6454023797095043,0.11178715002364187,
subcode__ambiguous,-0.11096050844668687,0.6652573803326236,0.11096050844668687,
subcode__uses_humor,-0.08649720601953143,0.603834816417053,0.08649720601953143,
subcode__proposes_new_idea,0.08360851518636879,0.5832131141098713,0.08360851518636879,
subcode__supports_or_validates,-0.07054342571290395,0.7824973417279841,0.07054342571290395,
subcode__joint_framing,-0.02502118911427848,0.9376231577934451,0.02502118911427848,
