feature,coef,pvalue,abs_coef,stars
is_facilitator,-11.227111691169906,0.9999709566614823,11.227111691169906,
subcode__proposes_process,-1.7837645530221542,0.00027172984186888945,1.7837645530221542,***
subcode__invites_contribution,-1.5277588339814945,0.16514399312400863,1.5277588339814945,
subcode__extends_existing_idea,0.7192275739715017,0.00589368552693281,0.7192275739715017,**
n_sessions_attended,0.6094149354436234,4.585580287533589e-05,0.6094149354436234,***
subcode__individual_framing,0.5018650300363685,0.1211536614793964,0.5018650300363685,
speaking_minutes_total,0.4430376625047218,0.368104182659721,0.4430376625047218,
subcode__uses_humor,-0.38693369940088806,0.029688300122789592,0.38693369940088806,*
subcode__asks_factual_question,0.3205647758595668,0.16768078942570808,0.3205647758595668,
subcode__joint_framing,0.23274263377562737,0.5331419553663324,0.23274263377562737,
subcode__proposes_new_idea,0.19337090031802878,0.3023872525035278,0.19337090031802878,
subcode__shares_domain_knowledge,0.1276032364771227,0.6755233779340537,0.1276032364771227,
subcode__supports_or_validates,-0.11410072492327382,0.7072988893998411,0.11410072492327382,
subcode__asks_clarifying_question,0.07870880727417111,0.7056118888978603,0.07870880727417111,
subcode__synthesizes_contributions,0.05650854672599283,0.846014339663946,0.05650854672599283,
subcode__shares_method_or_approach,-0.04926591939204725,0.7538197934498886,0.04926591939204725,
subcode__ambiguous,-0.0394774364324536,0.8979757759724514,0.0394774364324536,
