feature,coef,pvalue,sample,stage,stars,abs_coef
is_facilitator,-29.406202552553502,1.0,all_rows,selection_probit,,29.406202552553502
const,-1.2648525691679915,1.3474417614081655e-20,all_rows,selection_probit,***,1.2648525691679915
n_sessions_attended,0.23068081805957366,2.9484516410742667e-05,all_rows,selection_probit,***,0.23068081805957366
subcode__proposes_process,-0.13550319604107555,0.00026628601438680405,all_rows,selection_probit,***,0.13550319604107555
subcode__extends_existing_idea,0.10863437675082409,0.002281384444424087,all_rows,selection_probit,**,0.10863437675082409
subcode__invites_contribution,-0.09507413616310903,0.18608350321740952,all_rows,selection_probit,,0.09507413616310903
subcode__uses_humor,-0.07867882380108564,0.04055097262093965,all_rows,selection_probit,*,0.07867882380108564
subcode__asks_factual_question,0.06695158091976083,0.17094808964460306,all_rows,selection_probit,,0.06695158091976083
subcode__individual_framing,0.04588046105752079,0.06523278953587139,all_rows,selection_probit,,0.04588046105752079
subcode__proposes_new_idea,0.03552470382525829,0.44120077685049197,all_rows,selection_probit,,0.03552470382525829
subcode__joint_framing,0.02303187899145628,0.26654854569125996,all_rows,selection_probit,,0.02303187899145628
subcode__shares_method_or_approach,-0.019501801883381596,0.5919166047405761,all_rows,selection_probit,,0.019501801883381596
speaking_minutes_total,0.011011983725958427,0.5373161524662942,all_rows,selection_probit,,0.011011983725958427
subcode__ambiguous,-0.010197675877009243,0.6675254917267945,all_rows,selection_probit,,0.010197675877009243
subcode__shares_domain_knowledge,0.006931721869946955,0.7829330611341145,all_rows,selection_probit,,0.006931721869946955
subcode__supports_or_validates,-0.004715445414917108,0.9009033819984442,all_rows,selection_probit,,0.004715445414917108
subcode__synthesizes_contributions,0.004644686363478508,0.9269049007024316,all_rows,selection_probit,,0.004644686363478508
subcode__asks_clarifying_question,0.0030666017694000918,0.9477386948794253,all_rows,selection_probit,,0.0030666017694000918
const,-1.2619160679299626,1.5420395531791648e-20,non_facilitator_only,selection_probit,***,1.2619160679299626
n_sessions_attended,0.24729393724621695,6.173744116835057e-06,non_facilitator_only,selection_probit,***,0.24729393724621695
subcode__proposes_process,-0.15357954309167443,2.6396223485859172e-05,non_facilitator_only,selection_probit,***,0.15357954309167443
subcode__extends_existing_idea,0.10672280649758134,0.0024975069658537633,non_facilitator_only,selection_probit,**,0.10672280649758134
subcode__invites_contribution,-0.08749311612036564,0.20599754959980876,non_facilitator_only,selection_probit,,0.08749311612036564
subcode__asks_factual_question,0.059881688916196156,0.21626728509958848,non_facilitator_only,selection_probit,,0.059881688916196156
subcode__raises_concern,0.05239319019698071,0.30931414820567127,non_facilitator_only,selection_probit,,0.05239319019698071
subcode__proposes_new_idea,0.049899980795242854,0.2781779529404419,non_facilitator_only,selection_probit,,0.049899980795242854
subcode__asks_clarifying_question,0.03219591469108014,0.48983614464359304,non_facilitator_only,selection_probit,,0.03219591469108014
subcode__individual_framing,0.025144397035149642,0.3071882085999962,non_facilitator_only,selection_probit,,0.025144397035149642
subcode__synthesizes_contributions,0.017137604305582886,0.7377922829818357,non_facilitator_only,selection_probit,,0.017137604305582886
subcode__ambiguous,-0.015748904722500814,0.5085458148879203,non_facilitator_only,selection_probit,,0.015748904722500814
subcode__joint_framing,0.012177591675243184,0.5556813565424557,non_facilitator_only,selection_probit,,0.012177591675243184
subcode__shares_method_or_approach,-0.011951591632967115,0.7425915129892374,non_facilitator_only,selection_probit,,0.011951591632967115
speaking_minutes_total,0.011651160376953617,0.5159886316167349,non_facilitator_only,selection_probit,,0.011651160376953617
subcode__shares_domain_knowledge,0.006232973364014296,0.803337112171475,non_facilitator_only,selection_probit,,0.006232973364014296
subcode__supports_or_validates,-0.006134002275322205,0.8707456360990886,non_facilitator_only,selection_probit,,0.006134002275322205
