feature,coef,pvalue,sample,stage,stars,abs_coef
is_facilitator,-12.665976866518106,0.9998164693161322,all_rows,selection_probit,,12.665976866518106
const,-1.264852569168875,1.3474417609679685e-20,all_rows,selection_probit,***,1.264852569168875
n_sessions_attended,0.2306808180603805,2.9484516403841927e-05,all_rows,selection_probit,***,0.2306808180603805
subcode__proposes_process,-0.13550319603851096,0.0002662860144751872,all_rows,selection_probit,***,0.13550319603851096
subcode__extends_existing_idea,0.10863437675523607,0.0022813844453725344,all_rows,selection_probit,**,0.10863437675523607
subcode__invites_contribution,-0.09507413606984517,0.18608350729490675,all_rows,selection_probit,,0.09507413606984517
subcode__uses_humor,-0.07867882380527896,0.0405509726227887,all_rows,selection_probit,*,0.07867882380527896
subcode__asks_factual_question,0.06695158091501632,0.17094808968305264,all_rows,selection_probit,,0.06695158091501632
subcode__individual_framing,0.04588046105557449,0.06523278954800567,all_rows,selection_probit,,0.04588046105557449
subcode__proposes_new_idea,0.03552470382987524,0.4412007768070567,all_rows,selection_probit,,0.03552470382987524
subcode__joint_framing,0.02303187898915903,0.26654854575392606,all_rows,selection_probit,,0.02303187898915903
subcode__shares_method_or_approach,-0.0195018018744518,0.5919166050187624,all_rows,selection_probit,,0.0195018018744518
speaking_minutes_total,0.01101198372399906,0.5373161525579394,all_rows,selection_probit,,0.01101198372399906
subcode__ambiguous,-0.010197675874800546,0.6675254918114115,all_rows,selection_probit,,0.010197675874800546
subcode__shares_domain_knowledge,0.006931721872837111,0.7829330610566263,all_rows,selection_probit,,0.006931721872837111
subcode__supports_or_validates,-0.0047154454222769655,0.9009033818627346,all_rows,selection_probit,,0.0047154454222769655
subcode__synthesizes_contributions,0.004644686348508598,0.9269049009680486,all_rows,selection_probit,,0.004644686348508598
subcode__asks_clarifying_question,0.0030666017643429895,0.9477386949679849,all_rows,selection_probit,,0.0030666017643429895
const,-1.2619160679299277,1.542039553143728e-20,non_facilitator_only,selection_probit,***,1.2619160679299277
n_sessions_attended,0.24729393724621998,6.173744116748921e-06,non_facilitator_only,selection_probit,***,0.24729393724621998
subcode__proposes_process,-0.15357954309146246,2.6396223487326826e-05,non_facilitator_only,selection_probit,***,0.15357954309146246
subcode__extends_existing_idea,0.10672280649781542,0.0024975069658956205,non_facilitator_only,selection_probit,**,0.10672280649781542
subcode__invites_contribution,-0.0874931161154473,0.20599754983844154,non_facilitator_only,selection_probit,,0.0874931161154473
subcode__asks_factual_question,0.05988168891598489,0.216267285101855,non_facilitator_only,selection_probit,,0.05988168891598489
subcode__raises_concern,0.05239319019706934,0.30931414820479497,non_facilitator_only,selection_probit,,0.05239319019706934
subcode__proposes_new_idea,0.04989998079552316,0.2781779529393037,non_facilitator_only,selection_probit,,0.04989998079552316
subcode__asks_clarifying_question,0.03219591469075926,0.4898361446495195,non_facilitator_only,selection_probit,,0.03219591469075926
subcode__individual_framing,0.025144397034985562,0.3071882086045493,non_facilitator_only,selection_probit,,0.025144397034985562
subcode__synthesizes_contributions,0.0171376043047342,0.7377922830008462,non_facilitator_only,selection_probit,,0.0171376043047342
subcode__ambiguous,-0.01574890472235916,0.508545814893033,non_facilitator_only,selection_probit,,0.01574890472235916
subcode__joint_framing,0.012177591675117897,0.555681356547594,non_facilitator_only,selection_probit,,0.012177591675117897
subcode__shares_method_or_approach,-0.011951591632478182,0.7425915130036995,non_facilitator_only,selection_probit,,0.011951591632478182
speaking_minutes_total,0.011651160376849,0.5159886316215619,non_facilitator_only,selection_probit,,0.011651160376849
subcode__shares_domain_knowledge,0.006232973364175178,0.803337112167199,non_facilitator_only,selection_probit,,0.006232973364175178
subcode__supports_or_validates,-0.0061340022757278454,0.8707456360919879,non_facilitator_only,selection_probit,,0.0061340022757278454
