feature,coef,abs_coef,target,check_name,feature_type
is_facilitator,-1.3837157994392002,1.3837157994392002,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__proposes_process,-1.2285267197499465,1.2285267197499465,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__invites_contribution,-0.7122370809047806,0.7122370809047806,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__extends_existing_idea,0.702461917163574,0.702461917163574,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__ambiguous,-0.6421187608056331,0.6421187608056331,outcome_joined_team,conference_fixed_effects,behavior_or_control
n_sessions_attended,0.624401614638583,0.624401614638583,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__expresses_appreciation,-0.6187958453585636,0.6187958453585636,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__individual_framing,0.5856796398424877,0.5856796398424877,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__summarizes_for_group,-0.4856647963261576,0.4856647963261576,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__uses_humor,-0.46626706567088505,0.46626706567088505,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__identifies_common_ground,0.4551898420879928,0.4551898420879928,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__funding_priority_alignment,-0.4526732302058008,0.4526732302058008,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__encourages_participation,-0.4520325040286612,0.4520325040286612,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__shares_domain_knowledge,0.4445278929649967,0.4445278929649967,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021CMC,-0.4334364762374582,0.4334364762374582,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__reframes_cross_disciplinarily,0.4287266426144242,0.4287266426144242,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__checks_consensus,0.4258682762120546,0.4258682762120546,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__proposes_next_step,-0.3768480278969889,0.3768480278969889,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021SLU,-0.3626952308978449,0.3626952308978449,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__combines_ideas,0.34415012337609097,0.34415012337609097,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__shares_personal_experience,-0.3399191071190532,0.3399191071190532,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021MZT,-0.32284659416409683,0.32284659416409683,outcome_joined_team,conference_fixed_effects,conference_dummy
conf_2021ABI,-0.2984999975422127,0.2984999975422127,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__joint_framing,0.2980261478717655,0.2980261478717655,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__critiques_or_challenges,0.29395813641912744,0.29395813641912744,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021MND,-0.2889776928673369,0.2889776928673369,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__returns_to_earlier_idea,0.2840221794678123,0.2840221794678123,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__records_or_documents,0.28366933348876955,0.28366933348876955,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__asks_factual_question,0.27898284004429574,0.27898284004429574,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__calls_for_decision,-0.27897610407678286,0.27897610407678286,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__specific_future_plan,-0.26923545864154746,0.26923545864154746,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__redirects_idea,-0.2586874441637677,0.2586874441637677,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__translates_terminology,-0.2418919295944163,0.2418919295944163,outcome_joined_team,conference_fixed_effects,behavior_or_control
speaking_minutes_total,0.22590336124581276,0.22590336124581276,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__proposes_new_idea,0.21574219571788678,0.21574219571788678,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__devil_advocate,0.20018319201196028,0.20018319201196028,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021NES,0.19948527367694066,0.19948527367694066,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__shares_data_or_findings,-0.18902936606768186,0.18902936606768186,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__connects_methods,0.18760708562465137,0.18760708562465137,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__synthesizes_contributions,-0.18070312786265963,0.18070312786265963,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__societal_significance,-0.18002701598828907,0.18002701598828907,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__setback_response_accepts_builds,-0.17425138772654686,0.17425138772654686,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2022MND,-0.1741876918549275,0.1741876918549275,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__implicit_role_suggestion,-0.1737211576994984,0.1737211576994984,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__expertise_complementarity,0.17240613423841109,0.17240613423841109,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__expresses_enthusiasm,0.16918595476406278,0.16918595476406278,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__asks_for_opinion,0.16575172337002983,0.16575172337002983,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__vague_future_reference,0.1566857630533953,0.1566857630533953,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__setback_response_explores,-0.15333930512396676,0.15333930512396676,outcome_joined_team,conference_fixed_effects,behavior_or_control
