session_group,conference_id,feature,value
2020_11_06_NES_S10,2020NES,any_complementarity_recognized,0.0
2020_11_06_NES_S12,2020NES,any_complementarity_recognized,0.0
2020_11_06_NES_S3,2020NES,any_complementarity_recognized,0.0
2020_11_06_NES_S6,2020NES,any_complementarity_recognized,0.0
2020_11_06_NES_S7,2020NES,any_complementarity_recognized,0.0
2021-10-07-CMC-S2,2021CMC,any_complementarity_recognized,0.0
2021-10-08-CMC-S10,2021CMC,any_complementarity_recognized,0.0
2021-10-08-CMC-S3,2021CMC,any_complementarity_recognized,0.0
2021-10-08-CMC-S4,2021CMC,any_complementarity_recognized,0.0
2021_04_22_MND_S2,2021MND,any_complementarity_recognized,0.0
2021_04_22_MND_S3,2021MND,any_complementarity_recognized,0.0
2021_04_22_MND_S6,2021MND,any_complementarity_recognized,0.0
2021_04_22_MND_S7,2021MND,any_complementarity_recognized,0.0
2021_04_23_MND_S13,2021MND,any_complementarity_recognized,0.0
2021_04_23_MND_S15,2021MND,any_complementarity_recognized,0.0
2021_04_23_MND_S3,2021MND,any_complementarity_recognized,0.0
2021_04_23_MND_S9,2021MND,any_complementarity_recognized,0.0
2021_09_30_MZT_S1,2021MZT,any_complementarity_recognized,0.0
2021_09_30_MZT_S3,2021MZT,any_complementarity_recognized,0.0
2021_09_30_MZT_S4,2021MZT,any_complementarity_recognized,0.0
2021_10_01_MZT_S8,2021MZT,any_complementarity_recognized,0.0
2021-11-04-NES-S3,2021NES,any_complementarity_recognized,0.0
2021-11-04-NES-S5,2021NES,any_complementarity_recognized,0.0
2021-11-04-NES-S6,2021NES,any_complementarity_recognized,0.0
2021-11-05-NES-S10,2021NES,any_complementarity_recognized,0.0
2021-11-05-NES-S4,2021NES,any_complementarity_recognized,0.0
2021-11-05-NES-S7,2021NES,any_complementarity_recognized,0.0
2021_06_11_SLU_S10,2021SLU,any_complementarity_recognized,0.0
2021_06_11_SLU_S4,2021SLU,any_complementarity_recognized,0.0
2021_06_11_SLU_S8,2021SLU,any_complementarity_recognized,0.0
2021_06_11_SLU_S9,2021SLU,any_complementarity_recognized,0.0
2022-04-07-MND-S4,2022MND,any_complementarity_recognized,0.0
2022-04-08-MND-S1,2022MND,any_complementarity_recognized,0.0
2022-04-08-MND-S12,2022MND,any_complementarity_recognized,0.0
2022-04-08-MND-S3,2022MND,any_complementarity_recognized,0.0
2022-04-08-MND-S4,2022MND,any_complementarity_recognized,0.0
2022-04-08-MND-S6,2022MND,any_complementarity_recognized,0.0
2020_11_06_NES_S7,2020NES,any_funding_awareness,0.0
2021-05-20-ABI-S1,2021ABI,any_funding_awareness,0.0
2021-05-20-ABI-S3,2021ABI,any_funding_awareness,0.0
2021-05-20-ABI-S7,2021ABI,any_funding_awareness,0.0
2021-05-21-ABI-S11,2021ABI,any_funding_awareness,0.0
2021-05-21-ABI-S14,2021ABI,any_funding_awareness,0.0
2021-05-21-ABI-S16,2021ABI,any_funding_awareness,0.0
2021-05-21-ABI-S2,2021ABI,any_funding_awareness,0.0
2021-05-21-ABI-S7,2021ABI,any_funding_awareness,0.0
2021-05-21-ABI-S9,2021ABI,any_funding_awareness,0.0
2021-10-07-CMC-S2,2021CMC,any_funding_awareness,0.0
2021-10-08-CMC-S2,2021CMC,any_funding_awareness,0.0
2021-10-08-CMC-S4,2021CMC,any_funding_awareness,0.0
2021-10-08-CMC-S6,2021CMC,any_funding_awareness,0.0
2021-10-08-CMC-S7,2021CMC,any_funding_awareness,0.0
2021_04_22_MND_S2,2021MND,any_funding_awareness,0.0
2021_04_22_MND_S6,2021MND,any_funding_awareness,0.0
2021_04_23_MND_S11,2021MND,any_funding_awareness,0.0
2021_04_23_MND_S14,2021MND,any_funding_awareness,0.0
2021_04_23_MND_S15,2021MND,any_funding_awareness,0.0
2021_04_23_MND_S4,2021MND,any_funding_awareness,0.0
2021_04_23_MND_S7,2021MND,any_funding_awareness,0.0
2021_09_30_MZT_S3,2021MZT,any_funding_awareness,0.0
2021_09_30_MZT_S4,2021MZT,any_funding_awareness,0.0
2021_10_01_MZT_S7,2021MZT,any_funding_awareness,0.0
2021_10_01_MZT_S8,2021MZT,any_funding_awareness,0.0
2021-11-04-NES-S2,2021NES,any_funding_awareness,0.0
2021-11-04-NES-S6,2021NES,any_funding_awareness,0.0
2021-11-05-NES-S8,2021NES,any_funding_awareness,0.0
2021_06_11_SLU_S10,2021SLU,any_funding_awareness,0.0
2021_06_11_SLU_S4,2021SLU,any_funding_awareness,0.0
2022-04-08-MND-S11,2022MND,any_funding_awareness,0.0
2022-04-08-MND-S12,2022MND,any_funding_awareness,0.0
2022-04-08-MND-S6,2022MND,any_funding_awareness,0.0
2022-04-08-MND-S9,2022MND,any_funding_awareness,0.0
2020_11_06_NES_S4,2020NES,any_novel_combination,0.0
2021-10-08-CMC-S10,2021CMC,any_novel_combination,0.0
2021_04_22_MND_S2,2021MND,any_novel_combination,0.0
2021-11-04-NES-S6,2021NES,any_novel_combination,0.0
2021-11-05-NES-S2,2021NES,any_novel_combination,0.0
2022-04-08-MND-S12,2022MND,any_novel_combination,0.0
2022-04-08-MND-S3,2022MND,any_novel_combination,0.0
2022-04-08-MND-S6,2022MND,any_novel_combination,0.0
2022-04-08-MND-S8,2022MND,any_novel_combination,0.0
2020_11_05_NES_S3,2020NES,any_personal_disclosure,0.0
2020_11_06_NES_S10,2020NES,any_personal_disclosure,0.0
2020_11_06_NES_S11,2020NES,any_personal_disclosure,0.0
2020_11_06_NES_S9,2020NES,any_personal_disclosure,0.0
2021-05-21-ABI-S16,2021ABI,any_personal_disclosure,0.0
2021-05-21-ABI-S3,2021ABI,any_personal_disclosure,0.0
2021_04_22_MND_S2,2021MND,any_personal_disclosure,0.0
2021_04_23_MND_S15,2021MND,any_personal_disclosure,0.0
2021_04_23_MND_S6,2021MND,any_personal_disclosure,0.0
2021_10_01_MZT_S11,2021MZT,any_personal_disclosure,0.0
2021_10_01_MZT_S12,2021MZT,any_personal_disclosure,0.0
2021-11-04-NES-S6,2021NES,any_personal_disclosure,0.0
2021-11-05-NES-S11,2021NES,any_personal_disclosure,0.0
2021_06_10_SLU_S1,2021SLU,any_personal_disclosure,0.0
2021_06_10_SLU_S4,2021SLU,any_personal_disclosure,0.0
2022-04-08-MND-S12,2022MND,any_personal_disclosure,0.0
2022-04-08-MND-S6,2022MND,any_personal_disclosure,0.0
2020_11_06_NES_S12,2020NES,any_shared_vision,0.0
2021_04_22_MND_S2,2021MND,any_shared_vision,0.0
2021_04_22_MND_S6,2021MND,any_shared_vision,0.0
2021_10_01_MZT_S10,2021MZT,any_shared_vision,0.0
2021-11-04-NES-S6,2021NES,any_shared_vision,0.0
2022-04-07-MND-S1,2022MND,any_shared_vision,0.0
2022-04-08-MND-S12,2022MND,any_shared_vision,0.0
2022-04-08-MND-S5,2022MND,any_shared_vision,0.0
2022-04-08-MND-S6,2022MND,any_shared_vision,0.0
2022-04-08-MND-S8,2022MND,any_shared_vision,0.0
2020_11_06_NES_S3,2020NES,any_skill_gap_identified,0.0
2021-10-08-CMC-S10,2021CMC,any_skill_gap_identified,0.0
2021-10-08-CMC-S9,2021CMC,any_skill_gap_identified,0.0
2021_04_22_MND_S2,2021MND,any_skill_gap_identified,0.0
2021_04_22_MND_S6,2021MND,any_skill_gap_identified,0.0
2021_04_23_MND_S6,2021MND,any_skill_gap_identified,0.0
2021_09_30_MZT_S1,2021MZT,any_skill_gap_identified,0.0
2021_09_30_MZT_S4,2021MZT,any_skill_gap_identified,0.0
2021_10_01_MZT_S1,2021MZT,any_skill_gap_identified,0.0
2021-11-04-NES-S3,2021NES,any_skill_gap_identified,0.0
2021-11-04-NES-S6,2021NES,any_skill_gap_identified,0.0
2021-11-05-NES-S10,2021NES,any_skill_gap_identified,0.0
2021-11-05-NES-S8,2021NES,any_skill_gap_identified,0.0
2021_06_10_SLU_S1,2021SLU,any_skill_gap_identified,0.0
2021_06_10_SLU_S4,2021SLU,any_skill_gap_identified,0.0
2021_06_11_SLU_S4,2021SLU,any_skill_gap_identified,0.0
2021_06_11_SLU_S7,2021SLU,any_skill_gap_identified,0.0
2022-04-08-MND-S12,2022MND,any_skill_gap_identified,0.0
2022-04-08-MND-S6,2022MND,any_skill_gap_identified,0.0
2021-05-20-ABI-S5,2021ABI,building_blocking_ratio_session,33.66665544444818
2021-05-21-ABI-S10,2021ABI,building_blocking_ratio_session,70.999929000071
2021-10-07-CMC-S4,2021CMC,building_blocking_ratio_session,48.99997550001225
2021-10-08-CMC-S7,2021CMC,building_blocking_ratio_session,37.9999810000095
2021-10-08-CMC-S9,2021CMC,building_blocking_ratio_session,64.99996750001624
2021_04_22_MND_S1,2021MND,building_blocking_ratio_session,69.99993000007001
2021_04_22_MND_S2,2021MND,building_blocking_ratio_session,1000000.0
2021_04_22_MND_S6,2021MND,building_blocking_ratio_session,15000000.0
2021_04_23_MND_S13,2021MND,building_blocking_ratio_session,42.49997875001062
2021_04_23_MND_S16,2021MND,building_blocking_ratio_session,40.49997975001012
2021_09_30_MZT_S1,2021MZT,building_blocking_ratio_session,19000000.0
