code_name,count
"extends_existing_idea",147
"shares_domain_knowledge",139
"proposes_new_idea",67
"invites_contribution",62
"supports_or_validates",55
"proposes_process",55
"synthesizes_contributions",37
"asks_factual_question",26
"expresses_appreciation",22
"asks_clarifying_question",20
"returns_to_earlier_idea",19
"summarizes_for_group",18
"raises_concern",18
"shares_method_or_approach",18
"frames_shared_problem",16
"asks_for_opinion",14
"critiques_or_challenges",14
"joint_framing",14
"records_or_documents",14
"shares_personal_experience",12
"shares_data_or_findings",12
"uses_humor",11
"yields_floor",8
"redirects_idea",8
"ambiguous",8
"combines_ideas",8
"asks_for_elaboration",6
"reframes_cross_disciplinarily",6
"checks_consensus",5
"proposes_next_step",5
"expresses_enthusiasm",5
"extends existing idea",5
"connects_methods",4
"redirects_speaker",4
"individual_framing",4
"encourages_participation",4
"manages_tension",3
"asks_rhetorical_question",3
"identifies_common_ground",3
"attributes_to_other",3
"funding_priority_alignment",3
"personal disclosure",2
"scope_calibration",2
"calls_for_decision",2
"specific_future_plan",2
"setback_response_explores",2
"explicit_role_assignment",2
"expertise_complementarity",2
"idea ownership",2
"resolves_contradiction",1
"setback_response_redirects",1
"societal_significance",1
"personal_disclosure",1
"collaborative_completion",1
"prior relationship signal",1
"translates_terminology",1
"compares_options",1
"gatekeeps",1
