global_person_id,normalized_name,conference
person_0001,andrew feig,2020NES
person_0001,andrew feig,2021ABI
person_0001,andrew feig,2021CMC
person_0001,andrew feig,2021MND
person_0001,andrew feig,2021MZT
person_0001,andrew feig,2021NES
person_0001,andrew feig,2021SLU
person_0001,andrew feig,2022MND
person_0002,richard wiener,2020NES
person_0002,richard wiener,2021ABI
person_0002,richard wiener,2021CMC
person_0002,richard wiener,2021MND
person_0002,richard wiener,2021MZT
person_0002,richard wiener,2021NES
person_0002,richard wiener,2021SLU
person_0002,richard wiener,2022MND
person_0003,silvia ronco,2020NES
person_0003,silvia ronco,2021ABI
person_0003,silvia ronco,2021CMC
person_0003,silvia ronco,2021MND
person_0003,silvia ronco,2021MZT
person_0003,silvia ronco,2021NES
person_0003,silvia ronco,2021SLU
person_0003,silvia ronco,2022MND
person_0004,sandra laney,2021ABI
person_0004,sandra laney,2021CMC
person_0004,sandra laney,2021MND
person_0004,sandra laney,2021MZT
person_0004,sandra laney,2022MND
person_0005,alexandra basford,2021ABI
person_0005,alexandra basford,2021MND
person_0005,alexandra basford,2022MND
person_0006,ali keshavarzian,2021ABI
person_0006,ali keshavarzian,2021MND
person_0006,ali keshavarzian,2022MND
person_0007,carolina tropini,2021ABI
person_0007,carolina tropini,2021MND
person_0007,carolina tropini,2022MND
person_0008,daren ginete,2021CMC
person_0008,daren ginete,2021MND
person_0008,daren ginete,2021MZT
person_0009,lisa ryno,2021ABI
person_0009,lisa ryno,2021MND
person_0009,lisa ryno,2022MND
person_0010,stavroula hatzios,2021ABI
person_0010,stavroula hatzios,2021MND
person_0010,stavroula hatzios,2022MND
person_0011,wenjing wang,2021CMC
person_0011,wenjing wang,2021MND
person_0011,wenjing wang,2022MND
person_0012,abhishek shrivastava,2021ABI
person_0012,abhishek shrivastava,2021MND
person_0013,adam holewinski,2020NES
person_0013,adam holewinski,2021NES
person_0014,aida ebrahimi,2021MND
person_0014,aida ebrahimi,2022MND
person_0015,alexandra bedford,2021ABI
person_0015,alexandra bedford,2021MND
person_0016,alissa park,2020NES
person_0016,alissa park,2021NES
person_0017,andrea hicks,2020NES
person_0017,andrea hicks,2021NES
person_0018,andrew teixeira,2020NES
person_0018,andrew teixeira,2021NES
person_0019,anne hultgren,2021ABI
person_0019,anne hultgren,2021MND
person_0020,ashleigh baber,2020NES
person_0020,ashleigh baber,2021NES
person_0021,ashley ross,2021MND
person_0021,ashley ross,2022MND
person_0022,barbara bendlin,2021MND
person_0022,barbara bendlin,2022MND
person_0023,betar gallant,2020NES
person_0023,betar gallant,2021NES
person_0024,burcu gurkan,2020NES
person_0024,burcu gurkan,2021NES
person_0025,caleb hill,2020NES
person_0025,caleb hill,2021NES
person_0026,carlos morales guio,2020NES
person_0026,carlos morales guio,2021NES
person_0027,charles mccrory,2020NES
person_0027,charles mccrory,2021NES
person_0028,chong liu,2020NES
person_0028,chong liu,2021NES
person_0029,chris jones,2020NES
person_0029,chris jones,2021NES
person_0030,chris whidbey,2021MND
person_0030,chris whidbey,2022MND
person_0031,david durgan,2021MND
person_0031,david durgan,2022MND
person_0032,david kwabi,2020NES
person_0032,david kwabi,2021NES
person_0033,elizabeth bess,2021MND
person_0033,elizabeth bess,2022MND
person_0034,ellen matson,2020NES
person_0034,ellen matson,2021NES
person_0035,emily balskus,2021MND
person_0035,emily balskus,2022MND
person_0036,emily ryan,2020NES
person_0036,emily ryan,2021NES
