conference,normalized_name,output_raw_names,truth_raw_names,decision,canonical_name,notes
2020NES,matt green,Matt Green,Matt Green,,,
2021ABI,lisa,Lisa,lisa,,,
2021ABI,lisa poulikakos,Lisa Poulikakos,Lisa Poulikakos,,,
2021ABI,lisa ryno,Lisa Ryno,lisa ryno,,,
2021ABI,matt begley,Matt Begley,matt begley,,,
2021ABI,matt bogyo,Matt Bogyo,matt bogyo,,,
2021ABI,matt lew,Matt Lew,matt lew,,,
2021ABI,matt lovett barron,Matt Lovett-Barron,matt lovett barron,,,
2021MND,lisa ryno,Lisa Raino | Lisa Ryno,lisa raino | lisa ryno,,,
2021MZT,matt erdman,Matt Erdman,matt erdman,,,
2021NES,matt green,Matt Green,Matt Green,,,
2022MND,lisa ryno,Lisa Ryno,lisa ryno,,,
