conference,normalized_name,output_raw_names,truth_raw_names,decision,canonical_name,notes
2020NES,matt green,Matt Green,Matt Green,,Matt Green,Same person as Matt Green in 2020NES and 2021NES
2021ABI,lisa,Lisa,lisa,,,
2021ABI,lisa poulikakos,Lisa Poulikakos,Lisa Poulikakos,,Lisa poulikakos,
2021ABI,lisa ryno,Lisa Ryno,lisa ryno,,Lisa Ryno,Same person as Lisa Ryno in 2021 MND and 2022MND
2021ABI,matt begley,Matt Begley,matt begley,,Matt Begley,
2021ABI,matt bogyo,Matt Bogyo,matt bogyo,,Matt Bogyo,
2021ABI,matt lew,Matt Lew,matt lew,,Matt Lew,
2021ABI,matt lovett barron,Matt Lovett-Barron,matt lovett barron,,Matt Lovett Barron,
2021MND,lisa ryno,Lisa Raino | Lisa Ryno,lisa raino | lisa ryno,,Lisa Ryno,
2021MZT,matt erdman,Matt Erdman,matt erdman,,Matt Erdman,
2021NES,matt green,Matt Green,Matt Green,,Matt Green,Same person as Matt Green in 2020NES
2022MND,lisa ryno,Lisa Ryno,lisa ryno,,Lisa Ryno,Same person as Lisa Ryno in 2021MND
