conference,single_token_name,related_longer_names
2020NES,andrew,andrew feig | andrew teixeira
2020NES,daniel,daniel yawitz
2020NES,julia,julia brown
2020NES,roger,roger aines
2021ABI,arnold,arnold hayer
2021ABI,aseema,aseema mohanty
2021ABI,jin,jin zhang
2021ABI,kevin,kevin cash
2021ABI,larry,larry cheng
2021ABI,lingyan,lingyan shi
2021ABI,lisa,lisa poulikakos | lisa ryno
2021ABI,matt,matt begley | matt bogyo | matt lew | matt lovett barron
2021ABI,mimi,mimi sammarco
2021ABI,mini,mini das
2021ABI,nick,nick galati
2021ABI,vivian,vivian qian liu
2021CMC,alison,alison ondrus
2021CMC,anna,anna marie sokac
2021MND,abhishek,abhishek shrivastava
2021MND,leah,leah pyter
2021MND,melanie,melanie gareau
2021MND,michael,michael burton
2021MND,sarah,sarah maceachern
2021MND,stephanie,stephanie cologna
2021MND,wenjing,wenjing wang
2021MZT,adela,adela s oliva chavez
2022MND,annika,annika barber
