conference,alias_name,canonical_name,status
2020NES,kelsey hatzell,kelsey hazell,auto_accepted
2021ABI,shiva abbaszadeh,shiva abbbaszadeh,auto_accepted
2021ABI,josh brake,joshua brake,auto_accepted
2021MZT,adela oliva chavez,adela s oliva chavez,auto_accepted
2021MZT,avery strait,avery e strait,auto_accepted
2021MZT,claudia herrera,claudia p herrera,auto_accepted
2021MZT,dana mitzel,dana n mitzel,auto_accepted
2021MZT,jenny maloney,jenny g maloney,auto_accepted
2021MZT,kim pepin,kim m pepin,auto_accepted
2021MZT,kristin koutmou,kristin s koutmou,auto_accepted
2021MZT,mark wilber,mark q wilber,auto_accepted
2021MZT,paola boggiatto,paola m boggiatto,auto_accepted
2021MZT,tavis anderson,tavis k anderson,auto_accepted
2021MZT,brenda rubenstein,brenda marilyn rubenstein,auto_accepted
2021NES,kelsey hatzell,kelsey b hatzell,auto_accepted
2021NES,wilson smith,wilson a smith,auto_accepted
2021NES,phillip milner,phill milner,auto_accepted
2021SLU,aaron engelhart,aaron e engelhart,auto_accepted
2021SLU,andro rios,andro c rios,auto_accepted
2021SLU,jennifer glass,jennifer b glass,auto_accepted
2021SLU,mathieu lapotre,mathieu g a lapotre,auto_accepted
2021SLU,nathaniel gabor,nathaniel m gabor,auto_accepted
2021SLU,trinity hamilton,trinity l hamilton,auto_accepted
2021SLU,leslie rogers,leslie anne rogers,auto_accepted
2021ABI,alex walsh,alexandra walsh,manual_remaining_resolution
2021ABI,doug shepherd,douglas shepherd,manual_remaining_resolution
2021ABI,seu sim,seunghyun sim,manual_remaining_resolution
2021ABI,gokul upadhyayula,srigokul upadhyayula,manual_remaining_resolution
2021ABI,beck kamilov,ulugbek kamilov,manual_remaining_resolution
2021CMC,alex green,alexander green,manual_remaining_resolution
2021CMC,gw gant luxton,g w gant luxton,manual_remaining_resolution
2021CMC,masha kamenetska,maria kamenetska,manual_remaining_resolution
2021CMC,ross wang,rongsheng wang,manual_remaining_resolution
2021CMC,stephen yi,s stephen yi,manual_remaining_resolution
2021MND,jp yu,john paul yu,manual_remaining_resolution
2021MND,calvin ye,kaixiong ye,manual_remaining_resolution
2021MZT,matt hopken,matthew w hopken,manual_remaining_resolution
2021MZT,becky smith,rebecca l smith,manual_remaining_resolution
2021NES,leslie abdul aziz,kandis gilliard abdul aziz,manual_remaining_resolution
2021NES,leo liu,t leo liu,manual_remaining_resolution
2021NES,will bowman,william j bowman,manual_remaining_resolution
2022MND,dave durgan,david durgan,manual_final_patch
2021ABI,jazz dickinson,alexandra dickinson,manual_final_patch
2021ABI,jazz dickison,alexandra dickinson,manual_final_patch
2020NES,alissa park,alissa park,conference_pass2_auto
2020NES,andrew,andrew,conference_pass2_auto
2020NES,andrew feig,andrew feig,conference_pass2_auto
2020NES,angela hagen,angela hagen,conference_pass2_auto
2020NES,ashleigh baber,ashleigh baber,conference_pass2_auto
2020NES,betsy cantwell,betsy cantwell,conference_pass2_auto
2020NES,cheng liu,chong liu,conference_pass2_auto
2020NES,chris jones,chris jones,conference_pass2_auto
2020NES,daniel,daniel,conference_pass2_auto
2020NES,daniel yawitz,daniel yawitz,conference_pass2_auto
2020NES,david gator kwabi,david kwabi,conference_pass2_auto
2020NES,elizabeth weiss,elizabeth weiss,conference_pass2_auto
2020NES,fateme rezaei,fateme rezaei,conference_pass2_auto
2020NES,fatima hassan,fatima hassan,conference_pass2_auto
2020NES,feng jiao,feng jiao,conference_pass2_auto
2020NES,george shields,george shields,conference_pass2_auto
2020NES,haotian wang,haotian wang,conference_pass2_auto
