group_id,group_names,name,canonical_name,name_present_in_baseline,name_total_signal,group_status,row_status
1,arnold | arnold hayer,arnold,arnold hayer,False,0.0,applied_group,name_not_present
1,arnold | arnold hayer,arnold hayer,arnold hayer,True,92.0,applied_group,canonical_choice
2,barbara smith | brad smith,barbara smith,barbara smith,True,330.0,applied_group,canonical_choice
2,barbara smith | brad smith,brad smith,barbara smith,False,0.0,applied_group,name_not_present
3,dave durgan | david durgan,dave durgan,david durgan,False,0.0,applied_group,name_not_present
3,dave durgan | david durgan,david durgan,david durgan,True,158.0,applied_group,canonical_choice
4,jeff long | jeff long uc berkeley | jeffrey long | jeffrey long uc berkeley | jeffrey r long,jeff long,jeffrey long,True,91.0,applied_group,alias_applied
4,jeff long | jeff long uc berkeley | jeffrey long | jeffrey long uc berkeley | jeffrey r long,jeff long uc berkeley,jeffrey long,False,0.0,applied_group,name_not_present
4,jeff long | jeff long uc berkeley | jeffrey long | jeffrey long uc berkeley | jeffrey r long,jeffrey long,jeffrey long,True,162.0,applied_group,canonical_choice
4,jeff long | jeff long uc berkeley | jeffrey long | jeffrey long uc berkeley | jeffrey r long,jeffrey long uc berkeley,jeffrey long,True,100.0,applied_group,alias_applied
4,jeff long | jeff long uc berkeley | jeffrey long | jeffrey long uc berkeley | jeffrey r long,jeffrey r long,jeffrey long,True,39.0,applied_group,alias_applied
5,jae sung | jaeyun sun,jae sung,jae sung,True,100.0,applied_group,canonical_choice
5,jae sung | jaeyun sun,jaeyun sun,jae sung,False,0.0,applied_group,name_not_present
6,julia | julia brown,julia,julia brown,False,0.0,applied_group,name_not_present
6,julia | julia brown,julia brown,julia brown,True,99.0,applied_group,canonical_choice
7,kelsey hatzell | kelsey hazell | kelsey b hatzell,kelsey hatzell,kelsey b hatzell,False,0.0,applied_group,name_not_present
7,kelsey hatzell | kelsey hazell | kelsey b hatzell,kelsey hazell,kelsey b hatzell,True,43.0,applied_group,alias_applied
7,kelsey hatzell | kelsey hazell | kelsey b hatzell,kelsey b hatzell,kelsey b hatzell,True,110.0,applied_group,canonical_choice
8,phil milner | phillip milner,phil milner,phil milner,True,48.0,applied_group,canonical_choice
8,phil milner | phillip milner,phillip milner,phil milner,False,0.0,applied_group,name_not_present
9,sarah | sarah maceachern,sarah,sarah maceachern,False,0.0,applied_group,name_not_present
9,sarah | sarah maceachern,sarah maceachern,sarah maceachern,True,74.0,applied_group,canonical_choice
10,shiva abbasi | shiva abbaszadeh,shiva abbasi,shiva abbasi,True,4.0,applied_group,canonical_choice
10,shiva abbasi | shiva abbaszadeh,shiva abbaszadeh,shiva abbasi,False,0.0,applied_group,name_not_present
11,troy clavell sutton | troy sutton,troy clavell sutton,troy clavell sutton,True,72.0,applied_group,canonical_choice
11,troy clavell sutton | troy sutton,troy sutton,troy clavell sutton,False,0.0,applied_group,name_not_present
12,ukpong eyo | ukpong euo uofvirginia,ukpong eyo,ukpong eyo,True,74.0,applied_group,canonical_choice
12,ukpong eyo | ukpong euo uofvirginia,ukpong euo uofvirginia,ukpong eyo,False,0.0,applied_group,name_not_present
13,gary moore | gary f moore,gary moore,gary moore,True,68.0,applied_group,canonical_choice
13,gary moore | gary f moore,gary f moore,gary moore,True,63.0,applied_group,alias_applied
14,wilson smith | wilson a smith,wilson smith,wilson a smith,True,67.0,applied_group,alias_applied
14,wilson smith | wilson a smith,wilson a smith,wilson a smith,True,107.0,applied_group,canonical_choice
