conference,alias_name,canonical_name,similarity_score,status
2021ABI,shiva abbaszadeh,shiva abbbaszadeh,1.0,auto_accepted
2021ABI,josh brake,joshua brake,0.9418,auto_accepted
2021MZT,adela oliva chavez,adela s oliva chavez,1.0,auto_accepted
2021MZT,avery strait,avery e strait,1.0,auto_accepted
2021MZT,claudia herrera,claudia p herrera,1.0,auto_accepted
2021MZT,dana mitzel,dana n mitzel,1.0,auto_accepted
2021MZT,jenny maloney,jenny g maloney,1.0,auto_accepted
2021MZT,kim pepin,kim m pepin,1.0,auto_accepted
2021MZT,kristin koutmou,kristin s koutmou,1.0,auto_accepted
2021MZT,mark wilber,mark q wilber,1.0,auto_accepted
2021MZT,paola boggiatto,paola m boggiatto,1.0,auto_accepted
2021MZT,tavis anderson,tavis k anderson,1.0,auto_accepted
2021MZT,brenda rubenstein,brenda marilyn rubenstein,0.9919,auto_accepted
2021NES,phillip milner,phill milner,0.9563,auto_accepted
2021SLU,aaron engelhart,aaron e engelhart,1.0,auto_accepted
2021SLU,andro rios,andro c rios,1.0,auto_accepted
2021SLU,jennifer glass,jennifer b glass,1.0,auto_accepted
2021SLU,mathieu lapotre,mathieu g a lapotre,1.0,auto_accepted
2021SLU,nathaniel gabor,nathaniel m gabor,1.0,auto_accepted
2021SLU,trinity hamilton,trinity l hamilton,1.0,auto_accepted
2021SLU,leslie rogers,leslie anne rogers,0.9977,auto_accepted
