conference,output_normalized_name,truth_normalized_name,similarity_score,output_raw_names,truth_raw_names,rank
2021ABI,alex walsh,alexandra walsh,0.8554,Alex Walsh,Alexandra Walsh,1
2021ABI,beck kamilov,ulugbek kamilov,0.8039,Beck Kamilov,Ulugbek Kamilov,1
2021ABI,gokul upadhyayula,srigokul upadhyayula,0.903,Gokul Upadhyayula,Srigokul Upadhyayula,1
2021ABI,josh brake,joshua brake,0.9418,Josh Brake,Joshua Brake,1
2021ABI,seu sim,seunghyun sim,0.795,Seu Sim,Seunghyun Sim,1
2021ABI,shiva abbaszadeh,shiva abbbaszadeh,1.0,Shiva Abbaszadeh,Shiva Abbbaszadeh,1
2021CMC,alex green,alexander green,0.8554,Alex Green,Alexander Green,1
2021CMC,gw gant luxton,g w gant luxton,0.9064,GW Gant Luxton,G.W. Gant Luxton,1
2021CMC,macha kamenetska,maria kamenetska,0.865,Macha Kamenetska,Maria (Masha) Kamenetska,1
2021CMC,maisha kamenetska,maria kamenetska,0.9164,Maisha Kamenetska,Maria (Masha) Kamenetska,1
2021CMC,masha kamenetska,maria kamenetska,0.865,Masha Kamenetska,Maria (Masha) Kamenetska,1
2021CMC,ross wang,rongsheng wang,0.7807,Ross Wang,Rongsheng (Ross) Wang,1
2021CMC,stephen yi,s stephen yi,0.7493,Stephen Yi,S. Stephen Yi,1
2021MND,calvin ye,kaixiong ye,0.72,Calvin Ye,Kaixiong Ye,1
2021MND,jp yu,john paul yu,0.7143,JP Yu,John-Paul Yu,1
2021MZT,adela oliva chavez,adela s oliva chavez,1.0,Adela Oliva Chavez,Adela S Oliva Chavez,1
2021MZT,avery strait,avery e strait,1.0,Avery Strait,Avery E. Strait,1
2021MZT,becky smith,rebecca l smith,0.7635,Becky Smith,Rebecca L Smith,1
2021MZT,brenda rubenstein,brenda marilyn rubenstein,0.9919,Brenda Rubenstein,Brenda Marilyn Rubenstein,1
2021MZT,claudia herrera,claudia p herrera,1.0,Claudia Herrera,Claudia P Herrera,1
2021MZT,dana mitzel,dana n mitzel,1.0,Dana Mitzel,Dana N Mitzel,1
2021MZT,jenny maloney,jenny g maloney,1.0,Jenny Maloney,Jenny G Maloney,1
2021MZT,kim pepin,kim m pepin,1.0,Kim Pepin,Kim M Pepin,1
2021MZT,kristin koutmou,kristin s koutmou,1.0,Kristin Koutmou,Kristin S. Koutmou,1
2021MZT,mark wilber,mark q wilber,1.0,Mark Wilber,Mark Q Wilber,1
2021MZT,matt hopken,matthew w hopken,0.8975,Matt Hopken,Matthew W. Hopken,1
2021MZT,paola boggatto,paola m boggiatto,0.9842,Paola Boggatto,Paola M. Boggiatto,1
2021MZT,paola boggiatto,paola m boggiatto,1.0,Paola Boggiatto,Paola M. Boggiatto,1
2021MZT,tavis anderson,tavis k anderson,1.0,Tavis Anderson,Tavis K Anderson,1
2021NES,phillip milner,phill milner,0.9563,Phillip Milner,Phill Milner,1
2021NES,will bowman,william j bowman,0.8975,Will Bowman | Will Bowman (UC Irvine),William J. Bowman,1
2021SLU,aaron engelhart,aaron e engelhart,1.0,Aaron Engelhart,Aaron E. Engelhart,1
2021SLU,andro rios,andro c rios,1.0,Andro Rios,Andro C. Rios,1
2021SLU,jen glass,jennifer b glass,0.8149,Jen Glass,Jennifer B. Glass,1
2021SLU,jennifer glass,jennifer b glass,1.0,Jennifer Glass,Jennifer B. Glass,1
2021SLU,leslie rogers,leslie anne rogers,0.9977,Leslie Rogers,Leslie Anne Rogers,1
2021SLU,mathieu lapotre,mathieu g a lapotre,1.0,Mathieu Lapotre,Mathieu G. A. Lapotre,1
2021SLU,nathaniel gabor,nathaniel m gabor,1.0,Nathaniel Gabor,Nathaniel M. Gabor,1
2021SLU,trinity hamilton,trinity l hamilton,1.0,Trinity Hamilton,Trinity L. Hamilton,1
