conference,alias_name,canonical_name,status
2021ABI,shiva abbaszadeh,shiva abbbaszadeh,auto_accepted
2021ABI,josh brake,joshua brake,auto_accepted
2021MZT,adela oliva chavez,adela s oliva chavez,auto_accepted
2021MZT,avery strait,avery e strait,auto_accepted
2021MZT,claudia herrera,claudia p herrera,auto_accepted
2021MZT,dana mitzel,dana n mitzel,auto_accepted
2021MZT,jenny maloney,jenny g maloney,auto_accepted
2021MZT,kim pepin,kim m pepin,auto_accepted
2021MZT,kristin koutmou,kristin s koutmou,auto_accepted
2021MZT,mark wilber,mark q wilber,auto_accepted
2021MZT,paola boggiatto,paola m boggiatto,auto_accepted
2021MZT,tavis anderson,tavis k anderson,auto_accepted
2021MZT,brenda rubenstein,brenda marilyn rubenstein,auto_accepted
2021NES,phillip milner,phill milner,auto_accepted
2021SLU,aaron engelhart,aaron e engelhart,auto_accepted
2021SLU,andro rios,andro c rios,auto_accepted
2021SLU,jennifer glass,jennifer b glass,auto_accepted
2021SLU,mathieu lapotre,mathieu g a lapotre,auto_accepted
2021SLU,nathaniel gabor,nathaniel m gabor,auto_accepted
2021SLU,trinity hamilton,trinity l hamilton,auto_accepted
2021SLU,leslie rogers,leslie anne rogers,auto_accepted
2021ABI,alex walsh,alexandra walsh,manual_remaining_resolution
2021ABI,doug shepherd,douglas shepherd,manual_remaining_resolution
2021ABI,seu sim,seunghyun sim,manual_remaining_resolution
2021ABI,gokul upadhyayula,srigokul upadhyayula,manual_remaining_resolution
2021ABI,beck kamilov,ulugbek kamilov,manual_remaining_resolution
2021CMC,alex green,alexander green,manual_remaining_resolution
2021CMC,gw gant luxton,g w gant luxton,manual_remaining_resolution
2021CMC,masha kamenetska,maria kamenetska,manual_remaining_resolution
2021CMC,ross wang,rongsheng wang,manual_remaining_resolution
2021CMC,stephen yi,s stephen yi,manual_remaining_resolution
2021MND,jp yu,john paul yu,manual_remaining_resolution
2021MND,calvin ye,kaixiong ye,manual_remaining_resolution
2021MZT,matt hopken,matthew w hopken,manual_remaining_resolution
2021MZT,becky smith,rebecca l smith,manual_remaining_resolution
2021NES,leslie abdul aziz,kandis gilliard abdul aziz,manual_remaining_resolution
2021NES,leo liu,t leo liu,manual_remaining_resolution
2021NES,will bowman,william j bowman,manual_remaining_resolution
2022MND,dave durgan,david durgan,manual_remaining_resolution
2021ABI,jazz dickinson,alexandra dickinson,manual_final_patch
2021ABI,jazz dickison,alexandra dickinson,manual_final_patch
2020NES,cheng liu,chong liu,conference_pass2_auto
2020NES,david gator kwabi,david kwabi,conference_pass2_auto
2020NES,jarad mason,jared mason,conference_pass2_auto
2020NES,lindsey seitz,linsey seitz,conference_pass2_auto
2020NES,shaama m sharada,shaama sharada,conference_pass2_auto
2020NES,shaama mallikarjun sharada,shaama sharada,conference_pass2_auto
2020NES,shama m sharada,shaama sharada,conference_pass2_auto
2020NES,yuan yue liu,yuanyue liu,conference_pass2_auto
2020NES,christopher gorski,chris gorski,conference_pass2_auto
2021ABI,brian spring,bryan spring,conference_pass2_auto
2021ABI,candice fleischer,candace fleischer,conference_pass2_auto
2021ABI,katherine white,katharine white,conference_pass2_auto
2021ABI,sijian you,sixian you,conference_pass2_auto
2021ABI,vivian liu,vivian qian liu,conference_pass2_auto
2021ABI,sihan you,sixian you,conference_pass2_auto
2021ABI,holly bright,molly bright,conference_pass2_auto
2021ABI,lulu wei,lu wei,conference_pass2_auto
2021ABI,catherine white,katharine white,conference_pass2_auto
2021ABI,uzi emir,uzay emir,conference_pass2_auto
2021ABI,brad smith,barbara smith,conference_pass2_auto
2021CMC,alexis c komor,alexis komor,conference_pass2_auto
2021CMC,cheeming tan,cheemeng tan,conference_pass2_auto
2021CMC,chemeng tan,cheemeng tan,conference_pass2_auto
2021CMC,kathy liu,kathy f liu,conference_pass2_auto
2021CMC,maisha kamenetska,maria kamenetska,conference_pass2_auto
2021CMC,beth childers,seth childers,conference_pass2_auto
2021CMC,macha kamenetska,maria kamenetska,conference_pass2_auto
2021MND,michael d burton,michael burton,conference_pass2_auto
2021MND,zonggi xia,zongqi xia,conference_pass2_auto
2021MND,jay sung,jae sung,conference_pass2_auto
2021MND,pam chang,pamela chang,conference_pass2_auto
2021MZT,danai schulz,danae schulz,conference_pass2_auto
2021MZT,giselle medina,gisselle medina,conference_pass2_auto
2021MZT,sara l zimmer,sara zimmer,conference_pass2_auto
2021MZT,yarling chang,yanling chang,conference_pass2_auto
2021MZT,arshad mehta,angad mehta,conference_pass2_auto
2021NES,david gator kwabi,david kwabi,conference_pass2_auto
2021NES,grishma gadikota,greeshma gadikota,conference_pass2_auto
2021NES,shaama m sharada,shaama sharada,conference_pass2_auto
2021SLU,stylianos louca,stilianos louca,conference_pass2_auto
2021SLU,tyler robinson,tyler d robinson,conference_pass2_auto
2021SLU,gregory fournier,greg fournier,conference_pass2_auto
2021SLU,gregory p fournier,greg fournier,conference_pass2_auto
2021SLU,bradford james foley,brad foley,conference_pass2_auto
2021SLU,nicolas cowan,nick cowan,conference_pass2_auto
2021SLU,jen glass,jennifer b glass,conference_pass2_auto
2022MND,jaejun sung,jaeyun sung,conference_pass2_auto
2022MND,kailong ye,kaixiong ye,conference_pass2_auto
2022MND,jae sung,jaeyun sung,conference_pass2_auto
