code,pabak,pct_agreement,n_max,n_gemini,n_utterances
Idea Novelty Signal,0.991,99.5,0,1,212
Prior Relationship Signal,0.991,99.5,0,1,212
Information Sharing,0.991,99.5,1,0,212
Idea Ownership,0.991,99.5,0,1,212
ambiguous,0.981,99.1,0,2,212
Complementarity Articulation,0.887,94.3,0,12,212
Broader Significance,0.868,93.4,11,19,212
Idea Ownership and Attribution,0.858,92.9,5,12,212
Role Anticipation,0.84,92.0,0,17,212
NA (please provide explanation),0.811,90.6,20,0,212
Future-Oriented Language,0.774,88.7,17,11,212
Epistemic Bridging,0.736,86.8,11,21,212
Participation Dynamics,0.679,84.0,40,32,212
Evaluation Practices,0.66,83.0,26,32,212
Relational Climate,0.66,83.0,23,35,212
Coordination and Decision Practices,0.623,81.1,19,35,212
Information Seeking,0.594,79.7,54,33,212
Integration Practices,0.585,79.2,9,37,212
Knowledge Sharing,0.557,77.8,62,41,212
Idea Management,0.189,59.4,82,34,212
