chunk_id,conference_id,session_key,session_group,chunk_index,n_chunks_in_session,chunk_position,num_teams,num_funded_teams,has_teams,has_funded_teams,outcome_has_funded_teams,_json_loaded,gini_coefficient,dominant_speaker_flag,is_convergent,is_divergent,is_procedural,collective_engagement_score,cross_disciplinary_bridging,commitment_signal,screenshare_active,artifact_interaction,problem_specificity_level,decision_crystallization_level,ambition_level_ordinal,is_novel_combination,explicit_complementarity,skill_gap_identified,shared_vision_present,pronoun_shift_occurred,personal_disclosure,laughter_appreciative,laughter_shared_humor,laughter_tension_release,any_laughter,dissent_response_quality,dissent_was_present,dissent_response_exploratory,risk_acknowledgment_enthusiasm,funding_awareness,prior_relationship,meeting_structure_quality,num_Idea_Management,num_Information_Seeking,num_Knowledge_Sharing,num_Evaluation_Practices,num_Relational_Climate,num_Participation_Dynamics,num_Coordination_Decision,num_Integration_Practices,num_Idea_Ownership_Attribution,num_Future_Oriented_Language,num_Epistemic_Bridging,num_Pronoun_Framing,num_Complementarity_Articulation,num_Role_Anticipation,num_Broader_Significance,num_Idea_Novelty_Signal,mean_idea_quality_Idea_Management,pct_high_quality_Idea_Management,mean_idea_quality_Integration_Practices,pct_high_quality_Integration_Practices,mean_idea_quality_Knowledge_Sharing,pct_high_quality_Knowledge_Sharing,building_count,blocking_count,building_blocking_ratio,pct_building,num_future_oriented,num_named_next_steps,num_epistemic_bridging,num_idea_attribution,num_complementarity,num_role_anticipation,num_broader_significance,num_novelty_signals,num_scope_calibration,num_setback_explores,num_setback_defends,explore_vs_defend_ratio,num_joint_framing,num_individual_framing,pct_joint_framing,total_quality_score,mean_quality_score,pct_high_quality,num_collaborative_completions,num_elaborative_jumps,num_competitive_interruptions,interruption_quality_ratio,pct_turns_distraction,mean_distracted_count,mean_nod_rate,pct_turns_shared_affect,pct_turns_any_smile,pct_turns_audible_backchannel,mean_vocal_enthusiasm,pct_high_enthusiasm,pct_hesitation,responsiveness_index
2020NES__2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_17_50_PM__Zoom_Meeting_11_5_2020_12_17_50_PM.mp4,2020NES,2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_17_50_PM,2020_11_05_NES_S5,0,1,whole,1.0,1.0,True,True,True,True,0.1829896907216495,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,4.0,0.0,4000000.0,0.9999997500000625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9999996666667778,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,2.0,0.0,0.25,0.19566332234557252
2020NES__2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM__Zoom_Meeting_11_5_2020_12_11_13_PM.mp4,2020NES,2020_11_05_NES_S5/Zoom_Meeting_11_5_2020_12_11_13_PM,2020_11_05_NES_S5,0,1,whole,1.0,1.0,True,True,True,True,0.1891025641025641,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,0.0,1.1666666666666667,0.16666666666666666,1.6666666666666667,0.6666666666666666,1.0,0.0,10.0,0.0,10000000.0,0.99999990000001,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.6666665925926009,13.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.06666666666666667,0.0,2.1333333333333333,0.13333333333333333,0.0,-0.5347823048436813
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk1.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2020_11_05_NES_S5,0,2,beginning,1.0,1.0,True,True,True,True,0.3987884906612822,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,0.6666666666666666,0.0,9.0,0.0,9000000.0,0.9999998888889013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,1000000.0,0.0,0.0,0.6666666666666666,0.13333333333333333,0.4,0.06666666666666667,2.066666666666667,0.06666666666666667,0.06666666666666667,0.1452770489142666
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM_chunk2.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_11_58_06_AM,2020_11_05_NES_S5,1,2,end,1.0,1.0,True,True,True,True,0.16228571428571437,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,,,,,1.0,0.0,4.0,0.0,4000000.0,0.9999997500000625,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.1111111111111111,0.0,2.0,0.0,0.0,0.06864083988768817
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk1.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,0,6,beginning,1.0,1.0,True,True,True,True,0.17142857142857149,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,3.0,4.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,1.25,0.25,1.0,0.0,1.6666666666666667,0.6666666666666666,12.0,4.0,2.9999992500001875,0.7499999531250029,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,2.0,0.8333332638888947,17.0,1.3076923076923077,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.07142857142857142,0.0,2.0714285714285716,0.07142857142857142,0.0,-0.40951975912506416
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk2.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,1,6,middle,1.0,1.0,True,True,True,True,0.5284757118927972,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,1.0,10.999989000011,0.9166665902777842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,0.285714244897965,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.142857142857143,0.21428571428571427,0.07142857142857142,-0.6171441482000752
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk3.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,2,6,middle,1.0,1.0,True,True,True,True,0.35709459459459447,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,6.0,5.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,1.2,0.2,2.0,1.0,1.4,0.4,15.0,4.0,3.749999062500234,0.7894736426592819,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,0.4999999375000079,15.0,1.3636363636363635,1.0,0.0,3.0,2.0,1.499999250000375,0.0,0.0,1.4666666666666666,0.06666666666666667,0.4,0.06666666666666667,2.3333333333333335,0.3333333333333333,0.06666666666666667,0.2717470903780514
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk4.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,3,6,middle,1.0,1.0,True,True,True,True,0.28473075977378914,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,3.0,10.0,7.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,1.5,0.5,2.0,1.0,1.2,0.2,19.0,4.0,4.749998812500297,0.8260869206049165,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1000000.0,5.0,9.0,0.3571428316326549,20.0,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.045454545454545456,2.0,0.0,0.0,-0.21914302676708242
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk5.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,4,6,middle,1.0,1.0,True,True,True,True,0.36183986371379895,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.3333333333333333,2.0,1.0,1.5,0.5,12.0,0.0,12000000.0,0.9999999166666736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.6249999218750099,15.0,1.5,1.0,0.0,1.0,0.0,1000000.0,0.0,0.0,0.42857142857142855,0.0,0.07142857142857142,0.07142857142857142,2.0,0.0,0.14285714285714285,-0.48892486365238236
2020NES__2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM__5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM_chunk6.mp4,2020NES,2020_11_05_NES_S5/5_Decarbonizing_the_Economy_Zoom_Meeting_11_5_2020_12_19_34_PM,2020_11_05_NES_S5,5,6,end,1.0,1.0,True,True,True,True,0.41309710697465807,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,6.0,4.0,23.0,9.0,8.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.16666666666666666,0.0,13.0,0.0,13000000.0,0.9999999230769291,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.49999987500003124,4.0,0.4444444444444444,0.4444444444444444,2.0,1.0,0.0,3000000.0,0.0,0.0,0.5365853658536586,0.2682926829268293,0.5853658536585366,0.07317073170731707,2.1219512195121952,0.12195121951219512,0.0,0.6316419038522444
