feature,outcome,auc_loso,n,approx_p_value,bh_q_value
session_mean_num_extends_existing_idea,outcome_has_teams,0.5730698529411765,162,0.3523569015016603,0.45173961730982093
session_beginning_num_extends_existing_idea,outcome_has_teams,0.2300091911764706,162,0.0005894521158882338,0.0010915779923856182
session_middle_num_extends_existing_idea,outcome_has_teams,0.47954963235294124,162,0.794639556917446,0.9000771680294697
session_end_num_extends_existing_idea,outcome_has_teams,0.35615808823529416,162,0.0671291099821052,0.09871927938544882
session_delta_num_extends_existing_idea,outcome_has_teams,0.27550551470588236,162,0.004271967664927656,0.007401924171904354
session_mean_num_ambiguous,outcome_has_teams,0.58984375,162,0.25282099317460327,0.3364537931981412
session_beginning_num_ambiguous,outcome_has_teams,0.02090992647058824,162,1.075239675074613e-09,6.842434295929355e-09
session_middle_num_ambiguous,outcome_has_teams,0.5620404411764707,162,0.42973459435824113,0.5371682429478014
session_end_num_ambiguous,outcome_has_teams,0.3244485294117647,162,0.025456408394287866,0.039598857502225575
session_delta_num_ambiguous,outcome_has_teams,0.3499540441176471,162,0.056162417219788985,0.08509457154513483
session_mean_num_asks_rhetorical_question,outcome_has_teams,0.3573069852941176,162,0.06934191087663244,0.1011236200284223
session_beginning_num_asks_rhetorical_question,outcome_has_teams,0.0234375,162,1.3142076316086104e-09,7.666211184383561e-09
session_middle_num_asks_rhetorical_question,outcome_has_teams,0.32284007352941174,162,0.024141004121066123,0.03772031893916582
session_end_num_asks_rhetorical_question,outcome_has_teams,0.0234375,162,1.3142076316086104e-09,7.540535591196946e-09
session_delta_num_asks_rhetorical_question,outcome_has_teams,0.0078125,162,3.739655252132934e-10,6.23275875355489e-09
session_mean_num_joint_framing,outcome_has_teams,0.4430147058823529,162,0.46826531795254844,0.5730519625293425
session_beginning_num_joint_framing,outcome_has_teams,0.4597886029411764,162,0.6087857214011723,0.7198479813865213
session_middle_num_joint_framing,outcome_has_teams,0.5149356617647058,162,0.8492308179773331,0.9435897977525923
session_end_num_joint_framing,outcome_has_teams,0.38465073529411764,162,0.14206173052773474,0.20130204730650672
session_delta_num_joint_framing,outcome_has_teams,0.5215992647058824,162,0.7833824970945817,0.8989635212560775
session_mean_num_supports_or_validates,outcome_has_teams,0.49908088235294124,162,0.9906661940496737,1.0
session_beginning_num_supports_or_validates,outcome_has_teams,0.28239889705882354,162,0.0056123470385447405,0.009535541084906113
session_middle_num_supports_or_validates,outcome_has_teams,0.12821691176470587,162,2.2228974458915474e-06,5.678935080744829e-06
session_end_num_supports_or_validates,outcome_has_teams,0.40303308823529405,162,0.21713312039950727,0.29456043465049436
session_delta_num_supports_or_validates,outcome_has_teams,0.37959558823529416,162,0.12539959845475535,0.17914228350679334
session_mean_num_returns_to_earlier_idea,outcome_has_teams,0.5287224264705882,162,0.7146808852899089,0.8255389764074855
