feature,outcome,auc_loso,n,approx_p_value,bh_q_value
session_beginning_is_convergent,outcome_has_funded_teams,0.41188271604938276,162,0.26205385400802816,1.0
session_delta_laughter_shared_humor,outcome_has_funded_teams,0.41172839506172837,162,0.2612192122813748,1.0
session_mean_laughter_tension_release,outcome_has_funded_teams,0.44367283950617276,162,0.47341870379385953,1.0
session_beginning_laughter_tension_release,outcome_has_funded_teams,0.41188271604938276,162,0.26205385400802816,1.0
session_middle_laughter_tension_release,outcome_has_funded_teams,0.4444444444444445,162,0.4795001221869537,1.0
session_end_laughter_tension_release,outcome_has_funded_teams,0.4007716049382717,162,0.20659950178392883,1.0
session_delta_laughter_tension_release,outcome_has_funded_teams,0.4007716049382717,162,0.20659950178392883,1.0
session_mean_any_laughter,outcome_has_funded_teams,0.5390432098765432,162,0.619232115950002,1.0
session_beginning_any_laughter,outcome_has_funded_teams,0.47268518518518515,162,0.7280949137236423,0.9928567005322395
session_middle_any_laughter,outcome_has_funded_teams,0.5256172839506172,162,0.7443828990655506,0.9794511829809875
session_end_any_laughter,outcome_has_funded_teams,0.5345679012345679,162,0.6599533652744294,1.0
session_delta_any_laughter,outcome_has_funded_teams,0.5118827160493827,162,0.879784596296072,0.9703506576794912
session_mean_dissent_response_quality,outcome_has_funded_teams,0.43719135802469133,162,0.4240448886360719,1.0
session_middle_dissent_response_quality,outcome_has_funded_teams,0.4452160493827161,162,0.4856239192895866,1.0
session_mean_dissent_was_present,outcome_has_funded_teams,0.6387345679012346,162,0.07742894406658452,1.0
session_beginning_dissent_was_present,outcome_has_funded_teams,0.43101851851851847,162,0.3799486462970134,1.0
session_middle_dissent_was_present,outcome_has_funded_teams,0.5955246913580247,162,0.2240493731929556,1.0
session_end_dissent_was_present,outcome_has_funded_teams,0.4790123456790123,162,0.7893696639754775,0.9867120799693468
session_delta_dissent_was_present,outcome_has_funded_teams,0.4771604938271605,162,0.7712811888466364,0.9973463648878919
session_mean_dissent_response_exploratory,outcome_has_funded_teams,0.6353395061728395,162,0.08496257043543887,1.0
session_beginning_dissent_response_exploratory,outcome_has_funded_teams,0.43101851851851847,162,0.3799486462970134,1.0
session_middle_dissent_response_exploratory,outcome_has_funded_teams,0.5874999999999999,162,0.26541083595515946,1.0
session_end_dissent_response_exploratory,outcome_has_funded_teams,0.48472222222222217,162,0.8458201252290825,0.9468135730176297
session_delta_dissent_response_exploratory,outcome_has_funded_teams,0.47237654320987643,162,0.7251463620444056,1.0
session_mean_risk_acknowledgment_enthusiasm,outcome_has_funded_teams,0.5324074074074073,162,0.679988402234295,0.9999829444621986
session_beginning_risk_acknowledgment_enthusiasm,outcome_has_funded_teams,0.4262345679012346,162,0.34779201444853847,1.0
session_middle_risk_acknowledgment_enthusiasm,outcome_has_funded_teams,0.5391975308641975,162,0.6178476374836959,1.0
session_end_risk_acknowledgment_enthusiasm,outcome_has_funded_teams,0.4378086419753086,162,0.4286133363172566,1.0
session_delta_risk_acknowledgment_enthusiasm,outcome_has_funded_teams,0.4572530864197531,162,0.5863868462395732,1.0
session_mean_funding_awareness,outcome_has_funded_teams,0.5268518518518519,162,0.7325252844055579,0.9810606487574436
session_beginning_funding_awareness,outcome_has_funded_teams,0.495216049382716,162,0.9514470121354384,0.9775140535638066
session_middle_funding_awareness,outcome_has_funded_teams,0.5396604938271605,162,0.6137023543119935,1.0
session_end_funding_awareness,outcome_has_funded_teams,0.5050925925925925,162,0.9483188128336424,0.9878320967017109
session_delta_funding_awareness,outcome_has_funded_teams,0.4802469135802469,162,0.8014926962708162,0.9695476164566326
session_mean_prior_relationship,outcome_has_funded_teams,0.5445987654320987,162,0.5702729134404676,1.0
session_beginning_prior_relationship,outcome_has_funded_teams,0.5304012345679012,162,0.6987972633413724,1.0
session_middle_prior_relationship,outcome_has_funded_teams,0.5195987654320988,162,0.8030115070507162,0.9559660798222812
session_end_prior_relationship,outcome_has_funded_teams,0.4895061728395062,162,0.8937468671689162,0.957585929109553
session_delta_prior_relationship,outcome_has_funded_teams,0.48811728395061726,162,0.879784596296072,0.9562876046696436
session_mean_meeting_structure_quality,outcome_has_funded_teams,0.5737654320987654,162,0.34779201444853847,1.0
session_beginning_meeting_structure_quality,outcome_has_funded_teams,0.5037037037037038,162,0.9624012870615093,0.9624012870615093
session_middle_meeting_structure_quality,outcome_has_funded_teams,0.5407407407407407,162,0.6040780906072429,1.0
session_end_meeting_structure_quality,outcome_has_funded_teams,0.5337962962962963,162,0.6670817115812655,1.0
session_delta_meeting_structure_quality,outcome_has_funded_teams,0.5041666666666667,162,0.9577056076589638,0.970647575330031
session_mean_num_Idea_Management,outcome_has_funded_teams,0.5712962962962962,162,0.3641669217120529,1.0
session_beginning_num_Idea_Management,outcome_has_funded_teams,0.4643518518518518,162,0.6500254381797017,1.0
session_middle_num_Idea_Management,outcome_has_funded_teams,0.5712962962962962,162,0.3641669217120529,1.0
session_end_num_Idea_Management,outcome_has_funded_teams,0.5197530864197532,162,0.8014926962708155,0.9854418396772322
session_delta_num_Idea_Management,outcome_has_funded_teams,0.48117283950617284,162,0.810616616101671,0.9499413469941457
session_mean_num_Information_Seeking,outcome_has_funded_teams,0.49459876543209885,162,0.9451914099616494,0.9984416302411789
session_beginning_num_Information_Seeking,outcome_has_funded_teams,0.5418209876543209,162,0.5945221992367182,1.0
session_middle_num_Information_Seeking,outcome_has_funded_teams,0.4529320987654321,162,0.5491218194517291,1.0
session_end_num_Information_Seeking,outcome_has_funded_teams,0.527932098765432,162,0.7222018800083461,1.0
session_delta_num_Information_Seeking,outcome_has_funded_teams,0.5632716049382716,162,0.42063731856711506,1.0
session_mean_num_Knowledge_Sharing,outcome_has_funded_teams,0.6072530864197532,162,0.1722188173834105,1.0
session_beginning_num_Knowledge_Sharing,outcome_has_funded_teams,0.42361111111111105,162,0.3309153371139182,1.0
session_middle_num_Knowledge_Sharing,outcome_has_funded_teams,0.6060185185185185,162,0.1772099844634849,1.0
session_end_num_Knowledge_Sharing,outcome_has_funded_teams,0.5564814814814815,162,0.4722075311890861,1.0
session_delta_num_Knowledge_Sharing,outcome_has_funded_teams,0.5217592592592593,162,0.7818183793442763,0.9938369228952666
session_mean_num_Evaluation_Practices,outcome_has_funded_teams,0.6370370370370371,162,0.08112479188354826,1.0
session_beginning_num_Evaluation_Practices,outcome_has_funded_teams,0.5186728395061729,162,0.8121398103218325,0.9370843965251913
session_middle_num_Evaluation_Practices,outcome_has_funded_teams,0.6445987654320987,162,0.06570339898393973,1.0
session_end_num_Evaluation_Practices,outcome_has_funded_teams,0.5155864197530865,162,0.8427456238237205,0.9576654816178642
session_delta_num_Evaluation_Practices,outcome_has_funded_teams,0.533641975308642,162,0.6685110201140287,1.0
session_mean_num_Relational_Climate,outcome_has_funded_teams,0.5484567901234567,162,0.5373968337100321,1.0
session_beginning_num_Relational_Climate,outcome_has_funded_teams,0.5405864197530864,162,0.6054488303049668,1.0
session_middle_num_Relational_Climate,outcome_has_funded_teams,0.5580246913580247,162,0.460190166389296,1.0
session_end_num_Relational_Climate,outcome_has_funded_teams,0.5768518518518518,162,0.32799303018402126,1.0
session_delta_num_Relational_Climate,outcome_has_funded_teams,0.5867283950617282,162,0.2696485567766014,1.0
session_mean_num_Participation_Dynamics,outcome_has_funded_teams,0.5794753086419754,162,0.3117506156221186,1.0
session_beginning_num_Participation_Dynamics,outcome_has_funded_teams,0.5561728395061728,162,0.4746315831473502,1.0
session_middle_num_Participation_Dynamics,outcome_has_funded_teams,0.5537037037037036,162,0.49426785944950247,1.0
session_end_num_Participation_Dynamics,outcome_has_funded_teams,0.5344135802469137,162,0.6613765934690425,1.0
session_delta_num_Participation_Dynamics,outcome_has_funded_teams,0.5362654320987654,162,0.6443799623788398,1.0
session_mean_num_Coordination_Decision,outcome_has_funded_teams,0.5848765432098766,162,0.28000770745936765,1.0
