feature,coef,pvalue,stars,feature_label
n_sessions_attended,0.5204299004032471,0.00015677583966597068,***,N Sessions Attended
speaking_minutes_total,0.25175352006433005,0.4943286936589685,,Speaking Minutes Total
codename__broader_significance,-0.13628474852203717,0.3558442696350752,,Broader Significance
codename__complementarity_articulation,0.25681569278957855,0.0993508913202628,,Complementarity Articulation
codename__coordination_and_decision_practices,-0.5757817374668435,0.012554140667755526,*,Coordination & Decision
codename__epistemic_bridging,0.3829247132106501,0.0317822152454643,*,Epistemic Bridging
codename__evaluation_practices,0.059363048193816666,0.8174927302683842,,Evaluation Practices
codename__future_oriented_language,0.06292760559023178,0.6552626944969719,,Future-Oriented Language
codename__idea_management,0.9870927729704445,0.00040480168389619883,***,Idea Management
codename__idea_novelty_signal,0.06834667061837482,0.6758738366025687,,Idea Novelty Signal
codename__idea_ownership_and_attribution,-0.07901540295354907,0.5564910270644985,,Idea Ownership & Attribution
codename__information_seeking,0.26183575922616564,0.21507251201919486,,Information Seeking
codename__integration_practices,0.21626433442597004,0.33230234731652664,,Integration Practices
codename__knowledge_sharing,0.1810987595649765,0.5651065189118638,,Knowledge Sharing
codename__participation_dynamics,-1.0167970881641486,0.0343635875431666,*,Participation Dynamics
codename__pronoun_framing,0.17814649833630108,0.7308969292725617,,Pronoun Framing
codename__relational_climate,-0.47119341621299904,0.013735950723705467,*,Relational Climate
codename__role_anticipation,0.219557621544507,0.11968745197181374,,Role Anticipation
