feature,coef,pvalue,stars
n_sessions_attended,0.23297632075369715,0.15233030292447222,
speaking_minutes_total,-0.39029979065676573,0.2593361257434009,
subcode__individual_framing,0.3604361459713474,0.15423788441740582,
subcode__joint_framing,-0.11528932852141245,0.669217896231503,
subcode__shares_domain_knowledge,0.2150634186553455,0.3636707890667271,
subcode__ambiguous,-0.013306768941734505,0.9472852342396889,
subcode__extends_existing_idea,0.21276415907929408,0.24375597071603305,
subcode__supports_or_validates,-0.055030902032126384,0.7633524298242643,
subcode__proposes_new_idea,0.016529961196710203,0.9186135745863594,
subcode__proposes_process,-0.17880130713765316,0.27779908120669705,
subcode__shares_method_or_approach,0.19794841600925742,0.2496528422700095,
subcode__synthesizes_contributions,0.11121039628354668,0.5729870470018169,
subcode__asks_clarifying_question,0.11240872742265588,0.4905693648561785,
subcode__asks_factual_question,0.10307494191888823,0.5263364731013048,
subcode__invites_contribution,-0.16732331160208827,0.258850993120577,
subcode__raises_concern,-0.1350268213817667,0.365363743981867,
