feature,coef,abs_coef,target,check_name,feature_type
is_facilitator,-1.3863818995108415,1.3863818995108415,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__proposes_process,-1.229856908414045,1.229856908414045,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__invites_contribution,-0.7124809710803345,0.7124809710803345,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__extends_existing_idea,0.7023148951893681,0.7023148951893681,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__ambiguous,-0.6430196156110749,0.6430196156110749,outcome_joined_team,conference_fixed_effects,behavior_or_control
n_sessions_attended,0.6245191101333545,0.6245191101333545,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__expresses_appreciation,-0.6186450320527598,0.6186450320527598,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__individual_framing,0.5858373531923725,0.5858373531923725,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__summarizes_for_group,-0.48550999069231454,0.48550999069231454,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__uses_humor,-0.4660791072350588,0.4660791072350588,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__identifies_common_ground,0.45495803997614304,0.45495803997614304,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__funding_priority_alignment,-0.4531394454870343,0.4531394454870343,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__encourages_participation,-0.45276775124659696,0.45276775124659696,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__shares_domain_knowledge,0.4445115027333244,0.4445115027333244,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021CMC,-0.43363567868137165,0.43363567868137165,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__reframes_cross_disciplinarily,0.42872645379539076,0.42872645379539076,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__checks_consensus,0.4262305573808873,0.4262305573808873,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__proposes_next_step,-0.3775815791140232,0.3775815791140232,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021SLU,-0.3626778880215826,0.3626778880215826,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__combines_ideas,0.3444839939244264,0.3444839939244264,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__shares_personal_experience,-0.3397268579819614,0.3397268579819614,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021MZT,-0.32279146740037945,0.32279146740037945,outcome_joined_team,conference_fixed_effects,conference_dummy
conf_2021ABI,-0.29841440604379654,0.29841440604379654,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__joint_framing,0.29792130044123927,0.29792130044123927,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__critiques_or_challenges,0.29394207787622717,0.29394207787622717,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021MND,-0.2887742624871342,0.2887742624871342,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__returns_to_earlier_idea,0.28414593813774475,0.28414593813774475,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__records_or_documents,0.28409340221226986,0.28409340221226986,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__calls_for_decision,-0.2792373564986461,0.2792373564986461,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__asks_factual_question,0.2791507180720679,0.2791507180720679,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__specific_future_plan,-0.26873916097453887,0.26873916097453887,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__redirects_idea,-0.2593825587039051,0.2593825587039051,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__translates_terminology,-0.24145802874677136,0.24145802874677136,outcome_joined_team,conference_fixed_effects,behavior_or_control
speaking_minutes_total,0.22484749241000876,0.22484749241000876,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__proposes_new_idea,0.21605242000936228,0.21605242000936228,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__devil_advocate,0.2003525479568087,0.2003525479568087,outcome_joined_team,conference_fixed_effects,behavior_or_control
conf_2021NES,0.19941443502588124,0.19941443502588124,outcome_joined_team,conference_fixed_effects,conference_dummy
subcode__shares_data_or_findings,-0.1893779636880241,0.1893779636880241,outcome_joined_team,conference_fixed_effects,behavior_or_control
subcode__connects_methods,0.1876739073722024,0.1876739073722024,outcome_joined_team,conference_fixed_effects,behavior_or_control
