session,conf,label,edge_id,move_name,basis,links_to_extracted,links_to_name,from_idx,from_speaker,from_timestamp,from_chunk,to_idx,to_speaker,to_timestamp,to_chunk,is_self_link,is_cross_chunk,from_evidence,from_explanation,to_evidence
2020_11_05_NES_S3,2020NES,NES_S3,0,extends_existing_idea,named_speaker,True,Phil Milner,12,Jenny Yang,07:24-08:08,3_Sorbents_Zoom_Meeting_2020_11_05_12_12_32.json,10,Phil Milner,06:36-07:21,3_Sorbents_Zoom_Meeting_2020_11_05_12_12_32.json,False,False,part of it is trying to attach something that's has a reversible redox couple near your nucleophile,Jenny builds on Phil's idea by suggesting a specific chemical mechanism (reversible redox couples).,how can we generate for example nitrogen-based nucleophiles electrochemically
2020_11_05_NES_S3,2020NES,NES_S3,1,extends_existing_idea,on_table_idea,False,,13,Jenny Yang,00:00-00:08,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,10,Phil Milner,06:36-07:21,3_Sorbents_Zoom_Meeting_2020_11_05_12_12_32.json,False,True,"an unexplored space, right? There's tons of stuff that is out there that has not been tried um for redox active nucleophiles.","Jenny points out an unexplored area regarding redox active nucleophiles, extending the current topic of discussion.",how can we generate for example nitrogen-based nucleophiles electrochemically
2020_11_05_NES_S3,2020NES,NES_S3,2,raises_concern,on_table_idea,False,,18,Burcu Gurkan,03:31-04:47,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,15,David Kwabi,00:44-03:04,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,False,the main one of the main problems is um the ionic liquids are viscous... more viscous than your aqueous systems.,Identifies a specific technical challenge (viscosity) with the proposed ionic liquid system.,thinking about ways of building sort of multifunctional uh either interfaces or materials... start with uh like an ionic liquid... and then you sort of build on top of that some sort of functionality
2020_11_05_NES_S3,2020NES,NES_S3,3,extends_existing_idea,named_speaker,True,Jenny Yang,23,Phil Milner,08:37-09:02,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,22,Jenny Yang,07:38-08:37,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,False,"jumping off the line, I think it makes perfect sense to me that what that means is you got to switch the the nucleophile... to an amine or an N minus",Connects Jenny's concept of 'jumping off the line' directly to his proposed nitrogen-based solution.,basically we're trying to find ways to get off that line uh so to speak... trying to find ways to improve the nucleophilicity uh without um improving the potential.
2020_11_05_NES_S3,2020NES,NES_S3,4,synthesizes_contributions,nearest_prior,False,,24,David Kwabi,09:02-09:21,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,23,Phil Milner,08:37-09:02,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,False,"So the idea is to make to sort of electrochemically generate the amine and then um it sort of, you know, go back to the original state upon oxidation",Summarizes the proposed chemical mechanism to ensure shared understanding.,"jumping off the line, I think it makes perfect sense to me that what that means is you got to switch the the nucleophile... to an amine or an N minus"
2020_11_05_NES_S3,2020NES,NES_S3,5,raises_concern,nearest_prior,False,,32,Phil Milner,00:00-00:38,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,24,David Kwabi,09:02-09:21,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk1.json,False,True,reduce the imine and generate something that's like an N-minus and it would grab CO2 very efficiently The oxygen sensitivity is a good question... water could start to become a problem too,Identifies potential chemical vulnerabilities with the proposed imine system.,"So the idea is to make to sort of electrochemically generate the amine and then um it sort of, you know, go back to the original state upon oxidation"
2020_11_05_NES_S3,2020NES,NES_S3,6,redirects_idea,on_table_idea,False,,33,Jeffrey Long,00:38-01:26,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,3,Jeffrey Long,03:10-03:52,3_Sorbents_Zoom_Meeting_2020_11_05_12_12_32.json,True,True,a lot of it's about kinetics. It's an extraction from an unbelievably dilute mixture,Shifts the group's focus from thermodynamic properties to kinetic and transport limitations.,think about electrochemical possibilities for CO2 capture and separations
2020_11_05_NES_S3,2020NES,NES_S3,7,extends_existing_idea,named_speaker,True,Jeffrey Long,34,Fik Brushett,01:26-01:29,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,33,Jeffrey Long,00:38-01:26,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,"Not just kinetics, transport.",Builds immediately on Jeffrey's point by adding transport to the list of limitations.,a lot of it's about kinetics. It's an extraction from an unbelievably dilute mixture
2020_11_05_NES_S3,2020NES,NES_S3,8,extends_existing_idea,named_speaker,True,Xiao Su,37,Phil Milner,02:01-02:16,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,36,Xiao Su,01:30-02:01,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,False,False,That's how I was thinking in my brain because I'm a MOF person... solid gas interface instead of gas liquid.,Connects Xiao's solid matrix idea to his own expertise in Metal-Organic Frameworks (MOFs).,have these in some sort of absorbent matrix that is somehow ionically conductive so it doesn't need a liquid
2020_11_05_NES_S3,2020NES,NES_S3,9,connects_methods,on_table_idea,False,,40,Fik Brushett,02:26-03:04,3_Sorbents_Zoom_Meeting_2020_11_05_12_20_44_chunk2.json,3,Jeffrey Long,03:10-03:52,3_Sorbents_Zoom_Meeting_2020_11_05_12_12_32.json,False,True,you do these kind of things in hydrogen oxygen fuel cells,Explicitly bridges fuel cell engineering methods to the current CO2 capture challenge.,think about electrochemical possibilities for CO2 capture and separations
