label,conf,role,outcome_group,session,breadth [direct],volume [direct],distribution [direct],depth_link_ratio [link],longest_chain [link],bridging_moves [link],self_link_ratio [link],max_betweenness [link],n_bridges_sharing [link],max_weighted_degree [link],avg_weighted_degree [link],degree_centralization [link],builder_diversity [link],n_speakers,total_links,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,n_utterances,n_idea_utterances,n_links,n_unresolved_moves,n_extends,pct_nearest_prior,pct_links_to_extracted,pct_cross_chunk,n_bad_files,n_utterances_aliased,split_speaker_candidates
NES_S3,2020NES,focal,,2020_11_05_NES_S3,19,58,0.953,0.793,7,3,0.217,0.221,2,10,6.55,0.38,0.955,11,46,13,24,9,139,58,46,0,19,0.196,0.283,0.283,0,0,
NES_S10,2020NES,focal,,2020_11_06_NES_S10,15,47,0.904,0.851,7,2,0.05,0.426,1,17,6.91,0.653,0.908,11,40,8,20,12,162,47,40,0,15,0.3,0.2,0.4,0,0,
NES_S4,2020NES,scale,teams,2020_11_05_NES_S4,13,62,0.948,0.887,6,1,0.073,0.338,1,24,8.5,0.705,0.845,12,55,17,30,8,156,62,55,0,28,0.145,0.327,0.364,0,0,
CMC_S11,2021CMC,scale,teams,2021_10_08_CMC_S11,12,51,0.877,0.941,7,1,0.188,0.343,2,16,7.8,0.569,0.88,10,48,15,28,5,181,51,48,0,17,0.104,0.333,0.562,0,0,
MZT_S5,2021MZT,scale,teams,2021_09_30_MZT_S5,16,61,0.91,0.885,6,2,0.204,0.317,1,26,9.56,0.712,1.0,9,54,10,37,7,126,61,54,0,25,0.13,0.222,0.444,0,0,
MND_S5,2022MND,scale,teams,2022_04_07_MND_S5,13,51,0.913,0.824,8,0,0.262,0.187,4,13,7.75,0.462,0.917,8,42,15,18,9,207,51,42,0,16,0.214,0.357,0.405,0,0,
ABI_S1,2021ABI,scale,no_in_room_teams,2021_05_21_ABI_S1,15,50,0.819,0.68,5,0,0.206,0.454,2,15,5.4,0.711,1.0,10,34,5,22,7,180,50,34,1,19,0.206,0.176,0.5,0,4,
MND_S15,2021MND,scale,no_in_room_teams,2021_04_23_MND_S15,11,47,0.957,0.809,5,1,0.158,0.26,2,11,6.4,0.465,0.963,10,38,8,29,1,170,47,38,0,22,0.026,0.211,0.553,0,0,
SLU_S5,2021SLU,scale,no_in_room_teams,2021_06_11_SLU_S5,13,56,0.931,0.839,5,1,0.128,0.305,5,16,7.45,0.588,0.883,11,47,13,29,5,161,56,47,0,21,0.106,0.298,0.532,0,11,
NES_S8,2021NES,scale,no_in_room_teams,2021_11_05_NES_S8,10,40,0.895,0.85,6,0,0.118,0.131,3,14,6.67,0.589,0.971,9,34,9,14,11,169,40,34,0,18,0.324,0.294,0.353,0,0,
