conf,session,session_dir,n_files,n_bad_files,n_utts,n_idea,n_nodes,n_moves,n_speakers_idea,n_roster,roster_match_rate,unmatched_speakers,speaking_seconds,n_links,n_unresolved_moves,basis_named_speaker,basis_on_table_idea,basis_nearest_prior,pct_named_speaker,pct_nearest_prior,pct_links_to_extracted,has_teams,num_teams,num_funded_teams,is_focal,ok_complete,ok_material,ok_group,ok_length,ok_roster,ok_grounded,eligible
2020NES,2020_11_05_NES_S1,outputs/2020NES/output_2020_11_05_NES_S1,8,0,150,67,20,55,12,12,1.0,,0,59,0,13,37,9,0.22,0.153,0.22,True,1,0,False,True,True,True,True,True,True,True
2020NES,2020_11_05_NES_S2,outputs/2020NES/output_2020_11_05_NES_S2,8,0,141,59,18,45,11,11,1.0,,0,48,0,16,19,13,0.333,0.271,0.333,True,3,0,False,True,True,True,True,True,True,True
2020NES,2020_11_05_NES_S3,outputs/2020NES/output_2020_11_05_NES_S3,7,0,139,58,19,40,11,11,1.0,,0,46,0,13,24,9,0.283,0.196,0.283,True,3,1,True,True,True,True,True,True,True,True
2020NES,2020_11_05_NES_S4,outputs/2020NES/output_2020_11_05_NES_S4,12,0,156,62,13,50,12,13,1.0,,0,55,0,17,30,8,0.309,0.145,0.327,True,3,2,False,True,True,True,True,True,True,True
2020NES,2020_11_05_NES_S5,outputs/2020NES/output_2020_11_05_NES_S5,10,0,163,56,13,46,16,18,1.0,,0,51,0,17,23,11,0.333,0.216,0.333,True,4,2,False,True,True,False,True,True,True,False
2020NES,2020_11_05_NES_S6,outputs/2020NES/output_2020_11_05_NES_S6,11,0,156,64,17,52,12,18,1.0,,0,56,0,17,23,16,0.304,0.286,0.357,True,3,0,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S1,outputs/2020NES/output_2020_11_06_NES_S1,9,0,116,64,25,46,11,12,1.0,,0,50,0,9,31,10,0.18,0.2,0.18,True,2,1,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S10,outputs/2020NES/output_2020_11_06_NES_S10,9,0,162,47,15,36,11,12,1.0,,0,40,0,8,20,12,0.2,0.3,0.2,False,0,0,True,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S11,outputs/2020NES/output_2020_11_06_NES_S11,11,0,167,66,19,52,12,14,1.0,,0,55,1,8,36,11,0.145,0.2,0.164,True,3,1,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S12,outputs/2020NES/output_2020_11_06_NES_S12,8,0,161,41,10,32,11,14,1.0,,0,34,0,9,15,10,0.265,0.294,0.265,True,2,1,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S2,outputs/2020NES/output_2020_11_06_NES_S2,9,0,186,60,19,46,11,22,1.0,,0,52,0,20,14,18,0.385,0.346,0.385,True,3,0,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S3,outputs/2020NES/output_2020_11_06_NES_S3,4,0,129,47,12,39,11,14,1.0,,0,41,1,6,22,13,0.146,0.317,0.146,True,3,2,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S4,outputs/2020NES/output_2020_11_06_NES_S4,8,0,163,45,10,35,12,14,1.0,,0,37,0,9,17,11,0.243,0.297,0.27,True,2,0,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S6,outputs/2020NES/output_2020_11_06_NES_S6,4,1,61,21,5,17,8,11,1.0,,0,18,0,7,6,5,0.389,0.278,0.389,True,2,0,False,False,False,True,False,True,True,False
2020NES,2020_11_06_NES_S7,outputs/2020NES/output_2020_11_06_NES_S7,8,0,128,38,7,31,12,15,1.0,,0,34,0,7,20,7,0.206,0.206,0.206,True,2,0,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S8,outputs/2020NES/output_2020_11_06_NES_S8,8,0,226,63,10,54,9,17,1.0,,0,63,0,17,28,18,0.27,0.286,0.302,True,3,0,False,True,True,True,True,True,True,True
2020NES,2020_11_06_NES_S9,outputs/2020NES/output_2020_11_06_NES_S9,8,0,199,72,16,57,12,16,1.0,,0,68,0,9,48,11,0.132,0.162,0.147,True,2,2,False,True,True,True,True,True,True,True
2021ABI,2021_05_20_ABI_S1,outputs/2021ABI/output_2021_05_20_ABI_S1,9,0,130,37,13,25,11,11,1.0,,0,25,1,2,12,11,0.08,0.44,0.08,False,0,0,False,True,True,True,True,True,False,False
2021ABI,2021_05_20_ABI_S2,outputs/2021ABI/output_2021_05_20_ABI_S2,11,0,252,44,13,31,10,12,1.0,,0,32,0,2,19,11,0.062,0.344,0.062,True,1,0,False,True,True,True,False,True,True,False
2021ABI,2021_05_20_ABI_S3,outputs/2021ABI/output_2021_05_20_ABI_S3,8,0,94,32,13,20,8,11,1.0,,0,22,0,5,9,8,0.227,0.364,0.227,True,1,1,False,True,False,True,True,True,False,False
