session,label,edge_id,basis,links_to_extracted,links_to_name,from_speaker,from_timestamp,from_chunk,from_evidence,from_explanation,to_speaker,to_timestamp,to_chunk,to_evidence,is_self_link,is_cross_chunk,correct_yn,notes
2020_11_05_NES_S4,NES_S4,3,named_speaker,True,Chong Liu,Michael Nippe,06:27-07:18,4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk2.json,the electrocatalytic generation of food for enzymes... make efficient systems for NAD+ to NADH,Michael builds directly on Chong's idea of using electrochemistry with enzymes by specifying the generation of cofactors.,Chong Liu,05:04-06:22,4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk2.json,nature has enzymes to do methane to liquid... maybe they just need an energy source like electrochemistry,False,False,,
2020_11_05_NES_S4,NES_S4,4,on_table_idea,True,Speaker 1,Katie Knowles,01:41-02:36,4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk1.json,build off an idea that Michael just said... using electrochemistry more broadly,Directly builds on the previous speaker's idea to expand its scope.,Michael Nippe,06:27-07:18,4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk2.json,the electrocatalytic generation of food for enzymes... make efficient systems for NAD+ to NADH,False,True,,
2020_11_05_NES_S4,NES_S4,14,nearest_prior,False,,Sen Zhang,00:06-00:20,4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk2.json,"Not just oxidation for fewer applications about the polymer building blocks, it can be also be reduced, right, and generate useful fuels directly",Sen expands the idea of polymer building blocks to include reduction for fuel generation.,Charles McCrory,00:00-00:06,4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk2.json,from some sort of oxalate CO2 CO2 coupling sort of intermediates.,False,False,,
2020_11_05_NES_S4,NES_S4,33,named_speaker,True,Jordi Cabana,Adam Holewinski,09:48-10:00,4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk3.json,"I mean I guess there's kind of the circuitous route of the sequestration, so like biomass came up a few times where we're still absorbing CO2 from the air","Adam adds a third 'box' to Jordi's synthesis, incorporating the biomass ideas discussed earlier.",Jordi Cabana,08:51-09:47,4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk3.json,I'm starting to hear kind of like two boxes where you're putting things... one is creative things beyond CO2... the other one is chemical transformations that prevent the use of fossil fuels,False,False,,
2021_10_08_CMC_S11,CMC_S11,3,named_speaker,True,Wenjing Wang,Gulcin Pekkurnaz,07:25-07:43,B3_2021_10_08_13_01_43_chunk3.json,"But then that brings us to unknown unknowns. So we are, if we say signal is something that triggers response, so we're limited with what we can identify as response.",Gulcin builds on Wenjing's definition by pointing out the limitation of only defining signals by known responses.,Wenjing Wang,06:13-07:09,B3_2021_10_08_13_01_43_chunk2.json,how much room for mistakes is allowed in this process... is there a way that we can perturb this certain process... to see what would be required or necessary,False,True,,
2021_10_08_CMC_S11,CMC_S11,47,on_table_idea,False,,Rigoberto Hernandez,03:35-03:51,B3_2021_10_08_13_01_43_chunk8.json,"defining what's deterministic in this context would be kind of fun, right? To point out that you know that the organism is going to happen even though there are many parts that are stochastic, there is a part which is still deterministic.",He elaborates on the balance between stochastic and deterministic processes in organism development.,Rigoberto Hernandez,06:46-07:18,B3_2021_10_08_13_01_43_chunk6.json,"There was a deterministic driving force, but yet it's stochastic... there's a property you could predict was going to happen, which is kind of deterministic. So maybe it's not purely stochastic. The embryo is formed, the embryo becomes an animal... it's stochastic because it could be a different embryo. But there's a property you could predict",True,True,,
2021_10_08_CMC_S11,CMC_S11,41,nearest_prior,False,,Judith Su,00:00-00:35,B3_2021_10_08_13_01_43_chunk8.json,you could probably do some modeling to get you know what is the diffusion over a particular length,She builds on the ongoing discussion about measurement limitations by proposing a specific combination of sensors and modeling.,Davide Donadio,07:49-08:08,B3_2021_10_08_13_01_43_chunk7.json,I'm a physicist but I don't buy that.,False,True,,
2021_10_08_CMC_S11,CMC_S11,21,named_speaker,True,Wenjing Wang,Gulcin Pekkurnaz,08:48-10:00,B3_2021_10_08_13_01_43_chunk5.json,"going back to what Wenjing is saying, if we focus on these individual components and then maybe combining them is a way to start measuring some of these processes.",Gulcin builds directly on Wenjing's idea of combining individual components to measure complex processes.,Wenjing Wang,07:55-08:44,B3_2021_10_08_13_01_43_chunk5.json,"look at these individual processes, look a lot of them across different cells and different time, and then use computational methods to kind of simulate them to find a way use computational methods to kind of simulate them... I guess that's what Taras... trying to do.",False,False,,
2021_09_30_MZT_S5,MZT_S5,51,named_speaker,True,Pilar Fernandez,Matt Erdman,03:46-03:55,B5_2021_09_30_12_57_07_chunk6.json,"Further development of risk assessment in general? Risk assessment modeling, data analysis.",Matt helps clarify and extend Pilar's point into a concise bullet point.,Pilar Fernandez,03:30-03:40,B5_2021_09_30_12_57_07_chunk6.json,how do we scale up from the different systems into something that we can actually generalize across pathogens.,False,False,,
2021_09_30_MZT_S5,MZT_S5,4,on_table_idea,True,Matt Erdman,Matt Hopken,03:09-03:36,B5_2021_09_30_12_57_07_chunk1.json,"another component of a transmission chain is um opportunity which susceptibility plays into that, but also the overlapping of the pathogen, vector, and host in both space and time.",Matt introduces the concept of spatial and temporal overlap as a key component.,Ana Bento,00:00-00:48,B5_2021_09_30_12_57_07_chunk1.json,we cannot start talking about a transmission chain without thinking about the pathogen or the infectious agent first,False,False,,
