feature,coef,abs_coef,label
subcode__invites_contribution,-0.7841813684640688,0.7841813684640688,Invites Contribution
subcode__encourages_participation,-0.7469541510689819,0.7469541510689819,Encourages Participation
subcode__redirects_idea,-0.6746542731793234,0.6746542731793234,Redirects Idea
subcode__summarizes_for_group,0.6201309717558939,0.6201309717558939,Summarizes For Group
subcode__connects_methods,-0.48687736273011195,0.48687736273011195,Connects Methods
subcode__asks_rhetorical_question,0.48172879936200175,0.48172879936200175,Asks Rhetorical Question
subcode__shares_data_or_findings,0.4785447079482555,0.4785447079482555,Shares Data Or Findings
subcode__proposes_process,-0.4524659790586406,0.4524659790586406,Proposes Process
subcode__asks_for_elaboration,0.40901904680954326,0.40901904680954326,Asks For Elaboration
subcode__individual_framing,0.3732452528280598,0.3732452528280598,Individual Framing
subcode__returns_to_earlier_idea,0.34680519380958597,0.34680519380958597,Returns To Earlier Idea
subcode__method_complementarity,-0.2667924092803879,0.2667924092803879,Method Complementarity
subcode__vague_future_reference,-0.26513903933016303,0.26513903933016303,Vague Future Reference
subcode__uses_humor,-0.2556731743432572,0.2556731743432572,Uses Humor
subcode__combines_ideas,0.2478826809962432,0.2478826809962432,Combines Ideas
