feature,coef,abs_coef,label
subcode__proposes_process,-1.1690458332624556,1.1690458332624556,Proposes Process
subcode__scope_calibration,0.7926459307812529,0.7926459307812529,Scope Calibration
subcode__shares_data_or_findings,0.6677598750665721,0.6677598750665721,Shares Data Or Findings
subcode__invites_contribution,-0.6665825086656296,0.6665825086656296,Invites Contribution
subcode__reframes_cross_disciplinarily,0.49174792305559156,0.49174792305559156,Reframes Cross Disciplinarily
subcode__calls_for_decision,-0.47563551366356854,0.47563551366356854,Calls For Decision
subcode__expertise_complementarity,0.44845245064269046,0.44845245064269046,Expertise Complementarity
subcode__asks_clarifying_question,0.40078156011869664,0.40078156011869664,Asks Clarifying Question
subcode__societal_significance,-0.39310367627137516,0.39310367627137516,Societal Significance
subcode__asks_factual_question,0.3712105186943547,0.3712105186943547,Asks Factual Question
subcode__compares_options,-0.36529694641815796,0.36529694641815796,Compares Options
subcode__returns_to_earlier_idea,0.33727152215164435,0.33727152215164435,Returns To Earlier Idea
subcode__implicit_role_suggestion,0.3160108798932806,0.3160108798932806,Implicit Role Suggestion
subcode__identifies_common_ground,0.3148173787367351,0.3148173787367351,Identifies Common Ground
subcode__individual_framing,0.3043956326300904,0.3043956326300904,Individual Framing
