folder,file,speaker,timestamp,transcript,speaking duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interuption,overlap,screenshare,screenshare_content,annotations
2021MND/output_2021_04_22_MND_S6,Breakout_Room_4_Part_2_2021_04_22_13_14_53/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk6.json,Nandita Garud,00:28-00:44,Okay. So I kind of just took us uh scribe was a scribe and uh I wrote down what I think most of what everybody said uh trying to see if I can increase the font.,16,0,0,0,0,None,No,No,Yes,"Nandita shared a word document containing notes from Rose, Nandita, and Mark, along with summary points. The document includes bullet points on topics such as early life microbiome, diversity, host-microbe interactions, and FMTs. The font size was not changed.","[{'acknowledge contribution': 'Nandita acknowledges that she took on the role of scribe, recognizing her own contribution to the group.'}]"
2021MND/output_2021_04_22_MND_S6,Breakout_Room_4_Part_2_2021_04_22_13_14_53/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk6.json,Mark Mimee,03:00-03:34,"And also to get out the sort of species versus metabolites versus other things. I think it's like the question of um at what level should we measure the microbiome to learn about it? Is it at the species level? Is it at the genetic level? Is it at the transcriptomic level, the metabolomic level? it's kind of similar studies that are done in multiomics and you know most eukaryotic systems of like what do we measure and how what do we learn from that and I think we're still at the state where we don't really know exactly what what.",34,0,0,0,0,Open Palms,No,No,Yes,"Nandita shared a word document containing notes from Rose, Nandita, and Mark, along with summary points. The document includes bullet points on topics such as early life microbiome, diversity, host-microbe interactions, and FMTs. The font size was not changed.","[{'explain or define term or concept': 'The speaker is explaining the different levels at which the microbiome can be measured (species, genetic, transcriptomic, metabolomic) to understand it better, which is a conceptual clarification.'}, {'present new idea': 'The speaker presents the idea of considering different levels of microbiome measurement (species, genetic, transcriptomic, metabolomic) to understand it better, drawing an analogy to multiomics studies in eukaryotic systems, which is a novel approach in the context of the discussion.'}]"
2021MND/output_2021_04_22_MND_S6,Breakout_Room_4_Part_2_2021_04_22_13_14_53/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk6.json,Nandita Garud,01:01-02:30,"So uh in the beginning of our conversation we talked about the early life microbiome. some of the points discussed was antibiotics causes severe dysbiosis, what happens to the brain, uh what happens to the maternal microbiome, how does microbiome change in over a woman's lifetime. Um and during pregnancy, um perhaps there's some link between the microbiome and wanting to eat more uh so that you can be prepared for pregnancy and lactation. Then we talked about.",89,0,0,0,0,None,No,No,Yes,"Nandita shared a word document containing notes from Rose, Nandita, and Mark, along with summary points. The document includes bullet points on topics such as early life microbiome, diversity, host-microbe interactions, and FMTs. The font size was not changed.","[{'summarize key ideas': 'Nandita is summarizing the key ideas discussed at the beginning of the conversation, including the early life microbiome, the effects of antibiotics, changes in the maternal microbiome, and the link between the microbiome and eating habits during pregnancy.'}]"
2021MND/output_2021_04_22_MND_S6,Breakout_Room_4_Part_2_2021_04_22_13_14_53/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk5.json,Dr. Ali Keshavarzian,[07:44-08:47],"The study that you uh mentioned and is published red shows any long term may not be the case. The very two very good studies in uh infants that they use probiotics to modify atopic march show that is extremely effective but long term microbiota community was not changed. But maybe that we don't need to have a long-term graphment. We may need to just break the cycle, change the microbiota in a transient way to then get the beneficial uh uh long-term functional effect. What do you guys think? Do you think that we need to push hard to get a long-term graphment or just a transient one?",63,0,0,20,0,None,No,No,No,None,"[{'provide supporting evidence': 'The speaker references a published study to support the idea that long-term engraftment may not be necessary for beneficial effects, building on the prior discussion about engraftment of genetically engineered microbes.', 'propose decision': 'The speaker proposes the decision of whether long-term engraftment is necessary or if a transient change is sufficient for beneficial effects, following a discussion about genetically engineered microbes and engraftment.', 'ask clarifying question': 'The speaker asks the group what they think about the need for long-term engraftment versus a transient change, seeking input on the proposed decision.'}]"
2021MND/output_2021_04_22_MND_S6,Breakout_Room_4_Part_2_2021_04_22_13_14_53/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk5.json,Robin Voigt-Zuwala,[01:00-01:23],"Well, that's right. There was one thing somewhere on the the Silog website where it was talking about where wearable biosensors. I think that's where something like this could come in super, you know, be super helpful in understanding these circadian rhythms and just maybe absolute levels in different populations of different metabolites and that could shed light on some of these issues.",23,1,20,20,0,None,No,No,No,None,"{'expand on existing idea': 'This utterance expands on the discussion of diurnal variation of the microbiota and host circadian rhythms, building on the idea that circadian rhythms have to be considered in any design of a study by suggesting wearable biosensors could be helpful.', 'express enthusiasm': 'The speaker expresses enthusiasm for the potential of wearable biosensors to help understand circadian rhythms and metabolite levels, indicating excitement about this approach.', 'provide supporting evidence': 'The speaker mentions the Silog website as a source of information about wearable biosensors, providing a reference to support the idea that such technology exists and is being developed.'}"
2021MND/output_2021_04_22_MND_S6,Breakout_Room_4_Part_2_2021_04_22_13_14_53/Breakout_Room_4_Part_2_2021_04_22_13_14_53_chunk5.json,Mark Mimee,[06:14-07:05],"Um and then I guess the last point I want to make was a lot of this stuff that we've been talking about is everything that exists within the realm of normal biology. Uh thinking that like, oh short chain fatty acids or bile acid metabolites are things that the microbiome does to interact with the host. Um but we could also think of using the microbiome as a drug delivery agent where if we can engineer these bugs to make molecules that aren't normally found in humans but could have therapeutic value, that could be another means through which we can engineer the microbiome and again that gets you out of the realm of trying to understand this complex ecosystem and interspecies interaction, but rather just thinking of more traditional drug design where we have a molecule, we want to deliver it and we're going to use bugs in order to make this molecule in situ and that might have some beneficial effect.",51,0,0,20,0,None,No,No,No,None,"[{'expand on existing idea': 'Mark is expanding on the idea of genetic engineering of microbes, which was brought up by Rosa, by suggesting that the microbiome could be used as a drug delivery agent.'}, {'present new idea': 'Mark presents a new idea of using the microbiome as a drug delivery agent to produce molecules not normally found in humans but with therapeutic value.'}]"
2021ABI/output_2021_05_21_ABI_S5,bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk3.json,Maryellen Giger UChicago,03:43-04:33,"but at any of those who have already spoken, um, if you um, you know, kind of maybe use the hand or um, just start talking. But I think it's really important um to get all these aspects. I think we have key points forming. Um, uh, how about a more of a discussion on use cases? What are the use cases that, you know, let's say you someone said we'll go work on taking the molecular um cellular imaging and move it into mice. What use case pops out? What because sometimes the problem drives the next development. Um, Shiva, do you have a use case or Sampoon, what do you folks think?",50,0,0,0,0,Open Palms,No,No,No,None,"[{'encourage particpatioin': ""Maryellen encourages participation from those who haven't spoken yet, and then specifically asks Shiva and Sampoon for their thoughts, building on the ongoing discussion about multimodal imaging and use cases.""}, {'propose decision': 'Maryellen proposes to have a discussion on use cases, specifically focusing on the scenario of translating molecular cellular imaging into mice, to drive the next development.'}]"
2021ABI/output_2021_05_21_ABI_S5,bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk3.json,Sapun Parekh (UT Austin),07:48-08:48,"But the optical ones I really think are challenged at that problem. We really do well at working at cover slips and single cells and subcellular things and nano domains like what Anika does and you know, so what I do, but we aren't really good at looking at really big samples. Like I got to be honest. Yeah, and can I add to Sapoon's am I pronounced right? Yeah. Okay. Um, I think I'm I'm really not limited about the resolution because right now there are laminar FMRIs they can go down to the sub millimeter resolution to get the laminar brain activation using seven Tesla scanners and it is getting very common in the occipital cortex using the advanced technology and even if you go to do even higher fields, you can reduce so there's reason uh I framed that mesoscopic to microscopic level so and at this level the functional activation can be detected from human brain is sub millimeter level. So that allows us to map the laminar levels of the brain activation.",60,0,0,0,0,None,No,No,No,None,"[{'reject idea': 'Sapun states that optical imaging is challenged when looking at really big samples, rejecting the idea that it is suitable for macro-scale imaging.', 'expand on existing idea': ""Uzay expands on Sapun's point about resolution limitations by stating that laminar fMRIs can achieve sub-millimeter resolution, which allows mapping of laminar levels of brain activation, building on the discussion of imaging resolution.""}]"
2021ABI/output_2021_05_21_ABI_S5,bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM/bot5p3_Room_5_Zoom_Meeting_5_21_2021_10_59_19_AM_chunk3.json,Shiva Abbaszadeh-UCSC,04:33-06:00,"Uh, yeah, I totally second that that I like kind of almost every night I ask myself that why I'm doing what I'm doing because to me like working towards the problem statement especially from like for me developing hardware is really important and then like regarding that I wish that for example if I had a multimodal imaging modality that I could just like image a spiking of the neuron because you know like kind of this is like from before my father passed away like I got interested to learn about Alzheimer disease then I was like doing pit and then I was like oh maybe I should like now push the sensitivity of pit to be able to do more dynamic pits but then I was like okay still I'm not able to you know like image a spiking of the neuron and then now I'm just trying to learn about what kind of combination of other modality like I can leverage to like see how like to image functioning of the brain. So then like that that is kind of like as if a question for the group that what do you think guys if you wanted to like image a spiking of the neuron in the brain, what imaging modality or what are the combination that could be good.",87,0,10,0,0,None,No,No,No,None,"[{'express agreement': ""Shiva agrees with the previous discussion about the importance of problem statements driving development, indicated by 'I totally second that'."", 'ask clarifying question': 'Shiva asks the group for suggestions on imaging modalities or combinations to image neuron spiking in the brain, seeking input from others.'}]"
2021ABI/output_2021_05_20_ABI_S4,bot2p2_Zoom_Meeting_2021_05_20_12_37_07/bot2p2_Zoom_Meeting_2021_05_20_12_37_07_chunk3.json,"Katy Keenan, NIST (she/her)",06:44-07:39,"There's a question around like um there's kind of a high barrier to entry as far as solving those sorts of problems because you want to have access to all the data types in order to solve that sort of problem. And uh like when you operate at a single institution, you're limited to the vendor system that you have access to. Or uh you know, in medical imaging when the vendors develop something, they're pulling it off of all of their own image sets and then it's not generalizable to the other vendors. So when I was, you know, thinking about the first bullet point, it was like uh like what data is required? I mean, you kind of want all the things. Uh and so I think that's a big challenge is how to and then how do we get it to people? Um there's a lot of access issues.",55,0,0,0,0,None,No,No,No,None,"[{'present new idea': 'The speaker introduces the idea that there is a high barrier to entry for solving problems related to AI in imaging due to limited access to diverse data types, which has not been explicitly mentioned before.', 'expand on existing idea': 'The speaker expands on the existing idea of what data is required to effectively train AI/ML algorithms by stating that access to all data types is needed, which builds on the previous discussion about the challenges of training AI models with limited data.', 'express frustration': 'The speaker expresses frustration about the difficulty of accessing diverse data types needed to solve AI problems in imaging, highlighting the limitations of single-institution data and vendor-specific systems.'}]"
