normalized_name,record_type,conferences,raw_names,source_files,occurrence_count,unique_file_count
andrew,output,2020NES,Andrew,outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk8.json,12,8
angela hagen,output,2020NES,Angela Hagen,outputs/2020NES/output_2020_11_06_NES_S6/6_CO2_Reduction_Zoom_Meeting_2020_11_06_08_09_56/6_CO2_Reduction_Zoom_Meeting_2020_11_06_08_09_56.json,3,1
ashleigh baber,output,2020NES,Ashleigh Baber,outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk3.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk4.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk5.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S11/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53/5_what_to_do_with_captured_carbon_Zoom_Meeting_2020_11_06_12_16_53_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S6/6_CO2_Reduction_Zoom_Meeting_2020_11_06_08_09_56/6_CO2_Reduction_Zoom_Meeting_2020_11_06_08_09_56.json | outputs/2020NES/output_2020_11_06_NES_S6/6_CO2_Reduction_Zoom_Meeting_2020_11_06_08_34_58/6_CO2_Reduction_Zoom_Meeting_2020_11_06_08_34_58.json,37,14
betsy cantwell,output,2020NES,Betsy Cantwell,outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk8.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk9.json,11,9
cheng liu,output,2020NES,Cheng Liu,outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S3/2020_11_06_10_47_07/2020_11_06_10_47_07_chunk4.json,6,4
christopher gorski,output,2020NES,Christopher Gorski,outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk3.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk4.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk5.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S1/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_11_11_38/1_CO2_DAC_2_Zoom_Meeting_2020_11_06_11_11_38.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk8.json,34,14
daniel,output,2020NES,Daniel,outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S8/2020_11_06_12_09_28/2020_11_06_12_09_28_chunk8.json,9,7
daniel yawitz,output,2020NES,Daniel Yawitz,outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04/4_Beyond_CO2_Zoom_Meeting_2020_11_05_11_59_04_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk4.json | outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk5.json | outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00/4_Beyond_CO2_Zoom_Meeting_2020_11_05_12_17_00_chunk6.json | outputs/2020NES/output_2020_11_05_NES_S4/4_Beyond_CO2_Zoom_Meeting_2020_11_05_13_12_42/4_Beyond_CO2_Zoom_Meeting_2020_11_05_13_12_42.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk4.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk5.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk7.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk8.json | outputs/2020NES/output_2020_11_06_NES_S2/2020_11_06_09_59_04/2020_11_06_09_59_04_chunk9.json,29,15
david gator kwab,output,2020NES,David Gator Kwab,outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk3.json,9,3
fateme rezaei,output,2020NES,Fateme Rezaei,outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk1.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_09_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk2.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk3.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk4.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk5.json | outputs/2020NES/output_2020_11_05_NES_S1/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10/1_DAC_Simulations_Zoom_Meeting_2020_11_05_12_24_10_chunk6.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_12_03_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_22_34_chunk3.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48_chunk1.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48_chunk2.json | outputs/2020NES/output_2020_11_06_NES_S12/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48/6_new_ideas_for_CO2_utilization_Zoom_Meeting_2020_11_06_10_49_48_chunk3.json,42,15
